verdict,text,part
עפ_5681-23,בבית המשפט העליון בשבתו כבית משפט לערעורים פליליים,nothing
עפ_5681-23,כבוד השופט י' אלרון,לפני:
עפ_5681-23,כבוד השופט ח' כבוב,לפני:
עפ_5681-23,כבוד השופטת ר' רונן,לפני:
עפ_5681-23,"ערעור על גזר דינו של בית המשפט המחוזי בחיפה ב- HYPERLINK ""http://www.nevo.co.il/case/29050874"" ת""פ 17655-10-22 [פורסם בנבו] מיום 12.6.2023 שניתן על ידי השופט ד' פיש",מדינת ישראל
עפ_5681-23,"HYPERLINK ""http://www.nevo.co.il/law/70301"" חוק העונשין, תשל""ז-1977: סע'   HYPERLINK ""http://www.nevo.co.il/law/70301/144.a."" 144.א.,  HYPERLINK ""http://www.nevo.co.il/law/70301/144.b"" 144.ב,  HYPERLINK ""http://www.nevo.co.il/law/70301/144.c"" 144(ג),  HYPERLINK ""http://www.nevo.co.il/law/70301/144.g"" 144(ז)",חקיקה שאוזכרה:
עפ_5681-23,"* הענישה המחמירה והבלתי מתפשרת בעבירות נשק צריכה לחול על כל עבירה בנשק לרבות החזקה ונשיאה ואף אם מדובר בצורך להגנה אישית וזאת לנוכח חשש מפגיעה ממשית בערכים החברתיים, ואיומים משמעותיים על שלום הציבור וביטחונו. במקרה דנא המערער החזיק בנשק במשך כשנה וחצי, אף שידע כי מדובר בעבירה. במכלול נסיבות העניין העונש שהושת עליו, 35 חודשי מאסר בפועל, הולם את חומרת מעשיו ואינו סוטה לחומרה ממדיניות הענישה הנוהגת ואולי אף מקל עימו.",מיני-רציו:
עפ_5681-23,* עונשין – ענישה – מדיניות ענישה: עבירות נשק,מיני-רציו:
עפ_5681-23,* עונשין – ענישה – מדיניות ענישה: התערבות ערכאת ערעור,מיני-רציו:
עפ_5681-23,* עונשין – עבירות – נשק,מיני-רציו:
עפ_5681-23,"ערעור על גז""ד מחוזי בגדרו נגזר על המערער עונש של 35 חודשי מאסר בפועל לצד ענישה נלווית. זאת, בגין הרשעתו בביצוע עבירות בנשק (החזקה ונשיאה של ""אקדח הזנקה שהוסב"" טעון במחסנית ובה 6 כדורים).",.
עפ_5681-23,"ביהמ""ש העליון (מפי השופט י' אלרון, בהסכמת השופטים ח' כבוב ור' רונן) דחה את הערעור מהטעמים הבאים:",.
עפ_5681-23,"המקרה דנא אינו נמנה עם המקרים המצדיקים את התערבות ערכאת הערעור בעונש שהושת על ידי הערכאה הדיונית, בהתאם לאמות המידה הידועות וזאת משהעונש אשר הושת על המערער הולם את חומרת מעשיו ואינו סוטה לחומרה ממדיניות הענישה הנוהגת.",.
עפ_5681-23,"עבירות הנשק באשר הן הפכו למכת מדינה. חומרתן היתרה והשפעתן על תחושת הביטחון של כלל אזרחי המדינה מחייבות הטלת ענישה משמעותית, גם על נאשם נעדר עבר פלילי (שאינו מענייננו במקרה דנן). בימ""ש זה שב ומתריע השכם והערב על חומרתן של עבירות הנשק בחברה הישראלית בכלל, ובמגזר הערבי בפרט. עבירות אלו מגלמות סיכון רבתי לשלום הציבור, לביטחונו ולסדר החברתי לנוכח תוצאותיהן ההרסניות ומעבר לכך הן משמשות קרקע פורייה לעבירות נוספות. בהתאם לכך ולנוכח ריבוי מקרי הירי, יש לנקוט במדיניות ענישה מחמירה בגין ביצוע עבירות נשק, החל מיצרני או מבריחי הנשק הבלתי חוקי, דרך הסוחרים בו ועד לאלו הנוטלים אותו לידם ועושים בו שימוש בלתי חוקי לרבות החזקה ונשיאה ואף אם מדובר בצורך להגנה אישית. העובר על החוק צריך לדעת כי הוא צפוי לענישה קשה בדמות עונש מאסר משמעותי בפועל. במילים אחרות, הענישה המחמירה והבלתי מתפשרת בעבירות נשק צריכה לחול ללא קשר על כל עבירה בנשק לנוכח חשש מפגיעה ממשית בערכים החברתיים, ואיומים משמעותיים על שלום הציבור וביטחונו. במקרה דנן, המערער החזיק בנשק למעלה משנה וחצי ואף ידע שיש בכך עבירה. משכך, העונש שהושת עליו מבטא כנדרש את מעשיו ומתיישב עם מגמת ההחמרה בענישה בעבירות נשק. די בכך כדי לדחות את הערעור.",.
עפ_5681-23,"למעלה מן הצורך ביהמ""ש לא מוצא ממש ביתר טענות המערער. גם אם מדובר כביכול רק ב""אקדח הזנקה"" שהוסב ובקנה בית הבליעה היו פיסות נייר, הרי שמדוח המעבדה עולה כי כלי הנשק עונה להגדרת ""נשק"" לפי סעיף 144(ג) לחוק, כלומר מדובר בנשק אשר מסוגל לירות כדור שבכוחו להמית אדם. בהתאם לזאת, ומאחר שבמחסנית התואמת נמצאו 6 כדורים ומשהמערער בעצמו אמר להגנתו כי נשא את הנשק לצורך הגנה עצמית, אין לקבל את הטענה לפיה מדובר כביכול רק ב""אקדח הזנקה"", והעובדה היא שנשא נשק לצורך שימוש אפשרי.",.
עפ_5681-23,"מכלול נסיבותיו של המערער נשקלו לקולה ולחומרה ובהן נסיבות חייו, גילו הצעיר יחסית, מערכות נישואיו, היותו אב לשלושה ילדים כשהצעיר בן שנה; נטילת אחריות וחיסכון זמן שיפוטי יקר; עברו הפלילי הכולל 7 הרשעות קודמות במגוון עבירות חמורות בגינן ריצה תקופות מאסר מצטברות של כ- 44 חודשי מאסר; החזיק בנשק במשך כשנה וחצי, אף שידע כי מדובר בעבירה; בעת האירוע שלף את נשקו תוך מנוסה מהשוטרים שקראו לו לעצור. בנסיבות האמורות, נוכח העובדה שקיימות נסיבות שאינן קשורות בביצוע העבירה – לזכותו ולחובתו של המערער, ונוכח שיקולי הרתעת הרבים בעבירות אלימות במרחב הציבורי, ביהמ""ש סבור כי העונש שנגזר על המערער אינו מחמיר עמו ואולי אף מקל.",.
עפ_5681-23,השופט י' אלרון:,פסק-דין
עפ_5681-23,"לפנינו ערעור על גזר דינו של בית המשפט המחוזי בחיפה (השופט ד' פיש) ב- HYPERLINK ""http://www.nevo.co.il/case/29050874"" תפ""ח 17655-10-22 [פורסם בנבו] מיום 12.6.2023, בגדרו נגזר על המערער עונש של 35 חודשי מאסר בפועל לצד ענישה נלווית. זאת, בגין הרשעתו בביצוע עבירות בנשק (החזקה ונשיאה) לפי  HYPERLINK ""http://www.nevo.co.il/law/70301/144.a.;144.b"" סעיפים 144(א)+(ב) רישא וסיפא ל HYPERLINK ""http://www.nevo.co.il/law/70301"" חוק העונשין, תשל""ז-1977 (להלן: חוק העונשין).",פסק-דין
עפ_5681-23,"על פי עובדות כתב האישום המתוקן, כשנה וחצי עובר לתאריך 3.10.2022, החזיק המערער אקדח טעון במחסנית התואמת לו ובתוכה 6 כדורים. בתאריך 3.10.2022 יצא מביתו כשהוא מחזיק ונושא את האקדח טעון במחסנית ובכדורים, וכשהנשק מוסתר בבגדיו הלך ביחד עם אשתו לכיוון רכבו שחנה בסמוך. שוטרים שהיו בתצפית יזומה על המערער הבחינו בו, הוא הבחין בהם, זיהה אותם כשוטרים והחל לברוח. משצעקו לעברו ""עצור משטרה"", לא נענה ותוך כדי הימלטותו הוציא את האקדח והחזיקו בידו. זמן קצר לאחר מכן השוטרים השיגוהו, אחד מהם שלף ודרך את נשקו, כיוונו לעברו ודרש כי ישליך את האקדח לרצפה ומיד לאחר מכן נעצר.",עיקרי כתב האישום המתוקן
עפ_5681-23,"משכך, יוחסו למערער עבירות בנשק (החזקה ונשיאה), עבירות לפי  HYPERLINK ""http://www.nevo.co.il/law/70301/144.a.;144.b"" סעיפים 144(א)+(ב) רישא וסיפא ל HYPERLINK ""http://www.nevo.co.il/law/70301"" חוק העונשין, התשל""ז-1977 (להלן: החוק).",עיקרי כתב האישום המתוקן
עפ_5681-23,המערער הורשע על פי הודאתו במסגרת הסדר טיעון בעבירות שבכתב האישום המתוקן. הסדר הטיעון לא כלל הסכמה עונשית.,גזר הדין
עפ_5681-23,"בית המשפט המחוזי ציין בגזר דינו כי המערער פגע משמעותית בערכים החברתיים המוגנים; הגנה על שלום הציבור וביטחונו ושמירה על חיי אדם. בית המשפט אמנם התקשה לעמוד על ""רכיב"" נסיבות ביצוע העבירה, אולם נקבע שהמערער החזיק בנשק תקופה ממושכת יחסית ונושא באחריות בלעדית בביצוע העבירה, ובלשון הכתוב ""ולא חל בעניינו סייג לאחריות פלילית"".  בנוסף, על אף שהאקדח בו החזיק היה ""אקדח הזנקה שהוסב"", מדובר בכלי שמסוגל לירות כדור שבכוחו להמית אדם.",גזר הדין
עפ_5681-23,"המערער טען כי מתחם העונש ההולם בעניינו הוא בין מספר חודשי מאסר לבין 12 חודשים. מנגד, המשיבה ביקשה להשית עליו עונש שבין 40-60 חודשי מאסר בפועל לצד ענישה נלווית, בשים לב לתקופה הממושכת במהלכה החזיק בנשק.",גזר הדין
עפ_5681-23,"בית המשפט המחוזי, קבע כי מתחם העונש ההולם את מעשי המערער הוא בין 24 ל-50 חודשי מאסר. וגזר עליו 35 חודשי מאסר בפועל מהם תנוכה תקופת מעצרו; 9 חודשי מאסר על תנאי, לבל יעבור עבירות נשק ו/או אלימות מסוג ""פשע"", למשך 3 שנים; וקנס בסך 3,000 ש""ח.",גזר הדין
עפ_5681-23,"לטענת המערער, העונש שנגזר עליו חמור ביותר בנסיבות העניין מאחר שהאקדח שנשא ברשותו היה ""אקדח הזנקה"" מוסב; בקנה ובבית הבליעה היו פיסות נייר; המערער לא עשה שימוש בנשק והרשעתו במקרה דנן היא הרשעה אחת שלא לוותה בעבירה נוספת; נטען כי מחומר החקירה עולה בבירור כי המערער היה מְאוּיים וחש פחד מוגבר מאחר שהייתה כוונה לפגוע בו, ולא בכדי המשטרה פעלה כדי למנוע פגיעה בו באמצעות ""סיכול מודיעיני""; מאז תחילת מעצרו מוחזק בכלא ועד היום כ""טעון הגנה""; נטען כי בית המשפט המחוזי לא בחן את מדיניות הענישה הנוהגת; בנוסף, לשיטת המערער, הפגיעה בערך החברתי מינורית ומיקומה בתחתית המדרג.",תמצית טענות הצדדים בערעור
עפ_5681-23,"עוד טוען המערער כי לא ניתן משקל נכון והולם למכלול נסיבותיו שאינן קשורות לביצוע העבירה לרבות הודאתו, נטילת אחריות וחסכון בזמן שיפוטי יקר, נסיבות חייו הקשות: המערער יליד 1982 נשוי ואב לשלושה ילדים משתי מערכות נישואין, בנו הצעיר בן שנה; אביו נפטר בהיותו בן 5 שנים, אמו מבוגרת ואובחנה לאחרונה כסובלת ממחלה קשה ועברו הפלילי ""רחוק ואינו מאותו סוג כלל ועיקר"", כלשונו.",תמצית טענות הצדדים בערעור
עפ_5681-23,"מנגד, סומכת המשיבה על גזר דינו של בית המשפט המחוזי שלשיטתה מאוזן ואין מקום להתערב בו; הנשק שנתפס בידי המערער לפי דוח המעבדה היה כזה שניתן לירות ממנו לכל דבר ועניין; הושת עונש על-פי הפסיקה הנוהגת ותוך התחשבות בטענה להגנה עצמית; עברו הפלילי של המערער כולל מאסר בפועל של כ-44 חודשי מאסר במצטבר, כשעל העבירה האחרונה הושת עונש של 12 חודשי מאסר בגין תקיפת בת זוג.",תמצית טענות הצדדים בערעור
עפ_5681-23,"נקודת המוצא לדיוננו היא כי בית המשפט ייטה שלא להתערב בעונש שהושת על ידי הערכאה הדיונית, אלא במקרים שבהם ניכרת חריגה קיצונית ממדיניות הענישה הנוהגת או הראויה במקרים דומים, או כאשר נפלה על פני הדברים טעות מהותית ובולטת בגזר הדין (ראו למשל  HYPERLINK ""http://www.nevo.co.il/case/26430898"" ע""פ 968/20 פלוני נ' מדינת ישראל, פסקה 13 [פורסם בנבו] (22.3.2021);  HYPERLINK ""http://www.nevo.co.il/case/27697306"" ע""פ 4124/21 מדינת ישראל נ' רימוני, פסקה 10 [פורסם בנבו] (1.6.2022);  HYPERLINK ""http://www.nevo.co.il/case/28326750"" ע""פ 1222/22 מדינת ישראל נ' נאצר, פסקה 10 [פורסם בנבו] (23.6.2022)).",דיון והכרעה
עפ_5681-23,"המקרה שלפנינו אינו נמנה עם המקרים המצדיקים את התערבות ערכאת הערעור – העונש אשר הושת על המערער הולם את חומרת מעשיו ואינו סוטה לחומרה ממדיניות הענישה הנוהגת. בהינתן אמות מידה אלו, ניכר שאין מקום לקבל את הערעור.",דיון והכרעה
עפ_5681-23,"עבירות הנשק באשר הן הפכו למכת מדינה. חומרתן היתרה והשפעתן על תחושת הביטחון של כלל אזרחי המדינה מחייבות הטלת ענישה משמעותית, גם על נאשם נעדר עבר פלילי (שאינו מענייננו במקרה דנן). מדיניות ההחמרה ביחס לכלל עבירות הנשק, אשר ניכרת בפסיקתו של בית משפט זה, באה לידי ביטוי  סטטוטורי  HYPERLINK ""http://www.nevo.co.il/law/70301/144.g"" בסעיף 144(ז) ל HYPERLINK ""http://www.nevo.co.il/law/70301"" חוק העונשין אשר חוקק במסגרת תיקון מס' 140 לחוק (ראו: חוק העונשין (תיקון מס' 140 – הוראת שעה), התשפ""ב-2021, ס""ח 2938).  (וכן ראו מיני רבים:  HYPERLINK ""http://www.nevo.co.il/case/24263578"" ע""פ 4215/18 ח'טיב נ' מדינת ישראל [פורסם בנבו] (8.7.2018);  HYPERLINK ""http://www.nevo.co.il/case/27708542"" ע""פ 4207/21 נורי נ' מדינת ישראל [פורסם בנבו] (28.7.2021) (להלן: עניין נורי);  HYPERLINK ""http://www.nevo.co.il/case/27734980"" ע""פ 4456/21 מדינת ישראל נ' אבו עבסה [פורסם בנבו] (23.1.2022) (להלן: עניין אבו עבסה);  HYPERLINK ""http://www.nevo.co.il/case/28200855"" ע""פ 8869/21 מדינת ישראל נ' קואסמה [פורסם בנבו] (13.3.2022) (להלן: עניין קואסמה);  HYPERLINK ""http://www.nevo.co.il/case/27309272"" ע""פ 147/21 מדינת ישראל נ' ביטון [פורסם בנבו] (14.2.2021) (להלן: עניין ביטון)).",דיון והכרעה
עפ_5681-23,"בעניין ביטון התייחס חברי, השופט א' שטיין (בהסכמת חברתי השופטת ר' רונן ובהסכמתי) למדיניות ההחמרה האמורה באומרו:",דיון והכרעה
עפ_5681-23,"""עבירות נשק לסוגיהן היו זה מכבר למכת מדינה. האיסורים על עבירות כאמור באים להגן על ערכים חברתיים שכוללים שמירה על חיי אדם ועל שלמות גופו, וכן שמירה על סדרי חיים תקינים ושלווים שאינם מופרעים על ידי איש האוחז באקדח, ברובה, או בתת מקלע [...] הטלת עונשים חמורים ומרתיעים על עברייני נשק היא עיקר תרומתם של בתי המשפט למיגור התופעה ולהרחקת העבריין עם האקדח משגרת חייהם של אזרחי מדינה שומרי חוק."" (ראו שם, פסקאות 7 ו- 10).",דיון והכרעה
עפ_5681-23,"בית משפט זה שב ומתריע השכם והערב על חומרתן של עבירות הנשק בחברה הישראלית בכלל, ובמגזר הערבי בפרט (ראו: עניין קואסמה, פסקה 16; עניין אבו עבסה, פסקה 15). עבירות אלו מגלמות סיכון רבתי לשלום הציבור, לביטחונו ולסדר החברתי, כאשר חדשות לבקרים אנו עדים לתוצאותיהן ההרסניות ומעבר לכך הן משמשות קרקע פורייה לעבירות נוספות (עניין נורי, פסקה 9).",דיון והכרעה
עפ_5681-23,"בהתאם לכך ולנוכח ריבוי מקרי הירי, יש לנקוט במדיניות ענישה מחמירה בגין ביצוע עבירות נשק, החל מיצרני או מבריחי הנשק הבלתי חוקי, דרך הסוחרים בו ועד לאלו הנוטלים אותו לידם ועושים בו שימוש בלתי חוקי לרבות החזקה ונשיאה.",דיון והכרעה
עפ_5681-23,"ואמנם ניכרת בשנים האחרונות מגמת החמרה בענישה לשם מיגור עבירות אלו (עניין אבו עבסה;  HYPERLINK ""http://www.nevo.co.il/case/25824863"" ע""פ 4406/19 מדינת ישראל נ' סובח, פסקאות 16-15 לחוות דעתי [פורסם בנבו]).",דיון והכרעה
עפ_5681-23,"הווה אומר: אין לקבל את טענת המערער, המבקש להפחית מחומרתן של עבירות של החזקה ונשיאת נשק באצטלה של הגנה עצמית. עלינו להעביר מסר חד וברור - כל מי שנושא ומחזיק נשק בלתי חוקי ואף אם מדובר בצורך להגנה אישית, עליו להיות מודע לכך שהוא עובר על החוק וצפוי לענישה קשה בדמות עונש מאסר משמעותי בפועל. במילים אחרות, הענישה המחמירה והבלתי מתפשרת צריכה לחול ללא קשר על כל עבירה בנשק לנוכח חשש מפגיעה ממשית בערכים החברתיים, ואיומים משמעותיים על שלום הציבור וביטחונו.",דיון והכרעה
עפ_5681-23,"במקרה דנן, המערער החזיק בנשק למעלה משנה וחצי ואף ידע שיש בכך עבירה. משכך, העונש שהושת עליו מבטא כנדרש את מעשיו ומתיישב עם מגמת ההחמרה בענישה בעבירות נשק. די בכך כדי לדחות את הערעור, אולם נתייחס, למעלה מן הצורך, גם לטענותיו האחרות.",דיון והכרעה
עפ_5681-23,"המערער טוען כי העונש שהוטל עליו חמור יתר על המידה מאחר שהאקדח שנשא ברשותו היה כביכול רק ""אקדח הזנקה"" שהוסב ובקנה בית הבליעה היו פיסות נייר.  בית המשפט המחוזי התייחס לטענה זו וקבע כי אף שהאקדח הוסב, הרי שמדוח המעבדה עולה כי כלי הנשק עונה להגדרת ""נשק"" לפי  HYPERLINK ""http://www.nevo.co.il/law/70301/144.c"" סעיף 144(ג) לחוק, כלומר מדובר בנשק אשר מסוגל לירות כדור שבכוחו להמית אדם. בהתאם לזאת, ומאחר שבמחסנית התואמת נמצאו 6 כדורים ומשהמערער בעצמו אמר להגנתו כי נשא את הנשק לצורך הגנה עצמית, איננו יכולים לקבל את הטענה לפיה מדובר כביכול רק ב""אקדח הזנקה"", והעובדה היא שנשא נשק לצורך שימוש אפשרי.",דיון והכרעה
עפ_5681-23,"טענת המערער לפיה נסיבותיו לא נשקלו דיה, גם היא דינה להידחות מאחר שעל בית המשפט להעניק משקל עודף לאינטרס הציבורי בדבר הצורך להרתיע מפני ביצוע עבירות בנשק על פני נסיבות אישיות של הנאשם (ראו: עניין אבו עבסה). במקרה דנן מכלול נסיבותיו של המערער נשקלו לקולה ולחומרה ובהן נסיבות חייו, גילו הצעיר יחסית, מערכות נישואיו, היותו אב לשלושה ילדים כשהצעיר בן שנה; ומנגד נטילת אחריות וחיסכון זמן שיפוטי יקר.",דיון והכרעה
