verdict,text,part
"ע מ""א 7152-05-09","תיק זה התנהל בפני כב' השופטת שרון קיסר, אשר נתנה את הכרעת הדין וגזר הדין בתיק. מותב זה נתבקש להקריא את גזר הדין לצדדים.",הערת בית משפט:
"ע מ""א 7152-05-09","הנאשמים הורשעו בעבירה של אי קיום צו בית משפט לפי סעיף 18 לחוק רישוי עסקים, התשכ""ח – 1968. על פי כתב האישום, הנאשמים הורשעו בתיק עמ""ק 40361/08 בעבירה של ניהול עסק מסוג מכולת ללא רישיון (להלן : ""העסק""). ביום 21.9.08 גזר בית המשפט את דינם של הנאשמים ובין היתר נתן צו סגירה אשר נכנס לתוקף באופן מיידי. למרות האמור, ולמרות שטרם הוצא רישיון לעסק הנ""ל, נמצאו הנאשמים כשהם מנהלים את העסק בתאריכים 19.11.08, 16.2.09 ו-18.2.09.",גזר דין
"ע מ""א 7152-05-09",הנאשמים הודו בעבירות המיוחסת להם והורשעו על סמך הודאתם.,גזר דין
"ע מ""א 7152-05-09","המאשימה עותרת להטיל על הנאשמים מאסר בפועל, מאסר על תנאי, קנס ומימוש ההתחייבות שהוטלה על הנאשמים בת""פ 40361/08. לדבריה, עבירת אי קיום צו שיפוטי היא עבירה חמורה, כאשר בענייננו לנאשמים לא היה אישור של כיבוי אש דבר שסיכן את שלום הציבור, ואף התפרצה שריפה בעסק, דבר המוכיח סכנה זו.",גזר דין
"ע מ""א 7152-05-09","הנאשם עותר להטלת עונש צופה פני עתיד בלבד. ב""כ הנאשמים הדגיש כי בידי הנאשמים רישיון עסק, וכי לאחר מתן גזר הדין נסגר העסק, אולם לאחר מכן נפתח שוב, בשל טעותו של הנאשם אשר סבר כי הוא רשאי להפעיל את העסק באותה עת. עוד ציין כי העסק הינו בבעלותה של הנאשמת ועל כן יש להקל במידה נוספת עם הנאשם. כן טען כי בשל השריפה אשר נגרמה בשל הצתה, נשרפו מסמכים, דבר אשר עיכב את קבלת הרישיון וכי מדובר בהפרה קצרה מאד. עוד עתר כי בית המשפט יתחשב בכך שהנאשמים הינם הורים ל-8 ילדים.",גזר דין
"ע מ""א 7152-05-09","אכן, הפרת צו שיפוטי היא עבירה חמורה. ראו לעניין זה דברי כב' השופט ד""ר אחיקם סטולר בעפ""א 47416-12-10 אלעוקבי נ' עיריית לוד-השרות המשפטי, (פורסם במאגרים המשפטיים, 2011):",גזר דין
"ע מ""א 7152-05-09","""אין מחלוקת שהפרת צו שיפוטי היא עבירה חמורה מאין כמוה. עבירות אלה משקפות בעייתיות כפולה, מצד אחד, ניהול עסק ללא רישיון יכול לגרום תקלה קשה לציבור שכן מתן הרישיון כפוף לבדיקת הרשויות בדבר תנאים בטיחותיים ותברואתיים הקשורים בניהול העסק. כאשר מנוהל עסק ללא רישיון יכולה לנבוע מכך תקלה קשה לציבור המשתמשים בעסק. מצד שני, הפרת צו שיפוטי יש בו פגיעה חמורה בשלטון החוק (ראה לעניין זה רע""פ 11920/04 סעיד נעיף נ' מדינת ישראל וכן ר""ע  23/83 פור נגד מדינת ישראל, פ""ד ל""ח (1), 533, 536-535; רע""פ 4203/03 בואירט נגד הוועדה המחוזית לתכנון ובנייה חיפה, [פורסם בנבו]; רע""פ 2809/05 טאסה נגד מדינת ישראל, [פורסם בנבו]"".",גזר דין
"ע מ""א 7152-05-09","עם זאת, בענייננו לא מעט שיקולים לקולא. הנאשמים הודו בעבירות המיוחסות להם וחסכו בזמן שיפוטי, כיום בידם רישיון עסק, וההפרה לא הייתה לתקופה ארוכה.",גזר דין
"ע מ""א 7152-05-09","לאור האמור, סבורני כי ניתן להסתפק במאסר על תנאי, קנס וחילוט ההתחייבות, ועל כן אני גוזרת על הנאשמים את העונשים הבאים:",גזר דין
"ע מ""א 7152-05-09",מאסר על תנאי של חודשיים למשך שנתיים והתנאי הוא שהנאשמים לא יעברו עבירה על חוק רישוי עסקים והתקנות על פיו.,גזר דין
"ע מ""א 7152-05-09","קנס כספי בסך 21,000 ₪ או 200 ימי מאסר תמורתו הכוללים את חילוט ההתחייבויות. הקנס ישולם ב-40 תשלומים חודשיים ורצופים. תשלום ראשון עד ליום 15.07.11 ולאחר מכן בכל ה-15 בכל חודש לאחר מכן, עד לגמר תשלום הקנס. לא ישולם התשלום במועדו, תעמוד כל יתרת הקנס לפירעון מיידי.",גזר דין
"ע מ""א 7152-05-09","זכות ערעור לבימ""ש מחוזי תוך 45 יום מהיום. ",גזר דין
"ע מ""א 7152-05-09","ניתנה והודעה היום כ""א סיון תשע""א, 23/06/2011 במעמד הנוכחים. ",<#4#>
"ע מ""א 7152-05-09",הנני מורה למזכירות להעביר את סך ההפקדות של הנאשמים בתיק זה לקופת עיריית לוד.,החלטה
"ע מ""א 7152-05-09","המאשימה תקזז את הסכומים הנ""ל מסכום הקנס כפי שנקבע בגזר הדין.",החלטה
"ע מ""א 7152-05-09","ניתנה והודעה היום כ""א סיון תשע""א, 23/06/2011 במעמד הנוכחים.   ",<#8#>
"ע מ""א 7152-05-09",הישאם אבו שחאדה 54678313-/,5129371
"ע מ""א 7152-05-09",הוקלד על ידי: עינת אדטו,54678313
"ע מ""א 7152-05-09",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,54678313
"ע מ""א 7152-05-09","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",54678313
