verdict_1,verdict_2,GT,model_score,raw
ME-18-06-36728-73,ME-16-09-398-589,3,75,"SIMILARITY_SCORE: 75
"
SH-18-06-11098-353,ME-16-03-54615-517,1,25,"SIMILARITY_SCORE: 25
"
ME-17-05-633-549,ME-19-04-1316-977,3,75,"SIMILARITY_SCORE: 75
"
SH-17-10-10556-234,m08000207-175,1,35,SIMILARITY_SCORE: 35
ME-16-05-25902-514,ME-16-11-56385-886,3,45,"SIMILARITY_SCORE: 45
"
ME-16-04-12480-812,ME-13-10-28139-807,3,65,SIMILARITY_SCORE: 65
SH-16-04-30406-325,ME-16-02-59812-881,1,25,"SIMILARITY_SCORE: 25
"
ME-15-08-44579-251,ME-14-12-6904-57,2,75,"SIMILARITY_SCORE: 75
"
ME-16-05-25902-514,ME-12-05-33444-999,3,45,"SIMILARITY_SCORE: 45
"
ME-17-05-633-549,ME-16-03-54615-517,2,65,"
SIMILARITY_SCORE: 65
"
ME-16-10-12213-904,ME-09-05-16192-355,3,85,"SIMILARITY_SCORE: 85
"
ME-20-01-62688-591,ME-16-09-398-589,3,75,"
SIMILARITY_SCORE: 75
"
ME-16-06-42987-901,ME-16-06-44840-433,3,75,"
SIMILARITY_SCORE: 75
"
ME-17-05-633-549,ME-09-05-16192-355,1,65,"SIMILARITY_SCORE: 65

**הסבר:**

*   **סוג העבירה וחומרתה:** שני התיקים עוסקים בעבירות נשק חמורות. תיק 1 כולל סחר (144(ב) + (ג)) והחזקה (144(א)), ותיק 2 עוסק בנשיאה והובלה (144(ב)). הסחר בנשק בתיק 1 מעלה את רמת החומרה, אך הנשיאה וההובלה בתיק 2, במיוחד עם ניסיון בריחה מהמשטרה, גם היא חמורה.
*   **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם מעורב הן ברכישה/סחר והן בהחזקה, בעוד שבתיק 2"
ME-16-05-336-804,ME-16-11-69158-529,3,75,"
SIMILARITY_SCORE: 75
"
SH-17-10-10556-234,m07001074-98,2,45,"SIMILARITY_SCORE: 45
"
ME-16-06-44840-433,SH-11-05-24791-315,1,30,"
SIMILARITY_SCORE: 30
"
ME-16-06-42987-901,ME-14-10-31218-522,1,45,"SIMILARITY_SCORE: 45

**הסבר:**

1. **סוג העבירה וחומרתה:** שני התיקים עוסקים בעבירות נשק, אך תיק 1 כולל גם עבירות אלימות חמורות (ניסיון חבלה, איומים) וסחר בסמים, בעוד תיק 2 מתמקד בהחזקה והשלכה של רימון הלם. החומרה בתיק 1 גבוהה משמעותית.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם מעורב באופן פעיל במספר אירועים אלימים, כולל שימוש בנשק (גם אם לא תקין) וזריקת רימונים. בתיק 2 הנאשם מחזיק ומשליך רימון, אך"
SH-17-10-10556-234,ME-16-11-13999-863,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** שני התיקים עוסקים בעבירות נשק, אך תיק 2 חמור משמעותית. תיק 1 עוסק בהחזקה בלבד (144(א)), בעוד תיק 2 כולל גם נשיאה והובלה (144(ב)), שהן עבירות חמורות יותר.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם החזיק בנשק שהיה בבעלות אחר, ונראה שהמעורבות שלו פחות אקטיבית. בתיק 2 הנאשם מחזיק, נושא ומוביל את הנשק בעצמו, מה שמצביע על מעורבות אקטיבית יותר"
ME-16-05-336-804,ME-15-12-39071-113,1,35,"
SIMILARITY_SCORE: 35

**הסבר:**

1. **סוג העבירה וחומרתה:** תיק 1 - נשיאה/הובלה (144(ב)), תיק 2 - החזקה (144(א)). הפער בין 144(א) ל-144(ב) הוא קריטי ומשפיע מאוד על חומרת העבירה ועל הענישה.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים הנאשם הוא המחזיק הישיר בנשק. עם זאת, בתיק 1 יש אלמנט של הובלה ושימוש (ירי באוויר), שאינו קיים בתיק 2.
3. **שיטת הביצוע (MO):** בשני התיקים הנשק הוח"
ME-16-08-229-604,ME-16-05-19384-544,1,65,SIMILARITY_SCORE: 65
ME-16-10-9348-780,SH-10-02-25802-731,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** תיק 1 עוסק בנשיאה והובלה של נשק ותחמושת (144(ב)), עבירה חמורה יותר מהחזקה בלבד (144(א)) בתיק 2. הפער בחומרה משמעותי.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם נטל את הנשק, הסעתו והעברתו לאחר - מעורבות אקטיבית. בתיק 2, מדובר בהחזקה בבית, ללא פרטים על השגת הנשק או כוונה להשתמש בו.
3. **שיטת הביצוע (MO):** בתיק 1 יש אלמנט"
ME-16-02-18397-87,ME-20-01-62688-591,1,35,"SIMILARITY_SCORE: 35
"
