verdict_1,verdict_2,GT,model_score,raw
SH-18-06-11098-353,ME-16-03-54615-517,1,25,"SIMILARITY_SCORE: 25
"
SH-17-10-10556-234,m08000207-175,1,35,"SIMILARITY_SCORE: 35
"
SH-17-10-10556-234,ME-16-11-13999-863,1,40,"SIMILARITY_SCORE: 40
"
ME-17-05-633-549,ME-09-05-16192-355,1,45,"SIMILARITY_SCORE: 45
"
ME-16-04-12480-812,ME-13-10-28139-807,3,65,"SIMILARITY_SCORE: 65
"
SH-16-04-30406-325,ME-16-02-59812-881,1,35,"SIMILARITY_SCORE: 35
"
ME-18-06-36728-73,ME-16-09-398-589,3,85,"SIMILARITY_SCORE: 85
"
ME-15-08-44579-251,ME-14-12-6904-57,2,65,"SIMILARITY_SCORE: 65
"
ME-16-05-25902-514,ME-16-11-56385-886,3,45,"SIMILARITY_SCORE: 45
"
ME-16-10-12213-904,ME-09-05-16192-355,3,75,"
SIMILARITY_SCORE: 75
"
ME-20-01-62688-591,ME-16-09-398-589,3,85,"SIMILARITY_SCORE: 85
"
ME-16-05-25902-514,ME-12-05-33444-999,3,65,"SIMILARITY_SCORE: 65
"
ME-17-05-633-549,ME-16-03-54615-517,2,65,"
SIMILARITY_SCORE: 65"
ME-16-06-42987-901,ME-16-06-44840-433,3,65,"SIMILARITY_SCORE: 65
"
ME-21-10-18557-340,SH-11-01-41775-497,1,45,"
SIMILARITY_SCORE: 45
"
SH-17-10-10556-234,m07001074-98,2,60,"SIMILARITY_SCORE: 60
"
ME-16-05-336-804,ME-16-11-69158-529,3,75,"SIMILARITY_SCORE: 75
"
ME-16-08-229-604,ME-16-05-19384-544,1,65,"SIMILARITY_SCORE: 65
"
ME-16-06-44840-433,SH-11-05-24791-315,1,35,"SIMILARITY_SCORE: 35
"
ME-16-02-18397-87,ME-20-01-62688-591,1,65,"SIMILARITY_SCORE: 65
"
sh-10-05-7434-952,ME-15-06-12109-344,1,30,"SIMILARITY_SCORE: 30
"
ME-16-08-44157-713,ME-15-11-45465-294,3,75,"
SIMILARITY_SCORE: 75
"
ME-15-06-12109-344,ME-12-04-33577-700,1,75,"SIMILARITY_SCORE: 75
"
ME-16-10-9348-780,SH-10-02-25802-731,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** תיק 1 - נשיאה (144ב), תיק 2 - החזקה (144א). הבדל משמעותי בחומרה.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים מדובר בהחזקה, אך בתיק 1 יש מעורבות נוספת של גניבה ושני שותפים.
3. **שיטת הביצוע (MO):** בשני התיקים הנשק היה בבית, אך בתיק 1 הייתה גם החזקה ברכב.
4. **נסיבות הליבה:** תיק 1 כולל כמות תחמושת משמעותית (75 כדורים) וגניבה, בעוד בתי"
ME-17-08-28615-573,ME-16-05-336-804,2,65,"SIMILARITY_SCORE: 65
"
ME-18-05-32659-754,ME-15-02-9111-399,2,65,"
SIMILARITY_SCORE: 65



**הסבר:**

1. **סוג העבירה וחומרתה:** שני התיקים כוללים עבירה של נשיאת/הובלת נשק (144ב), אך תיק 2 גם כולל החזקה (144א). החומרה דומה - נשיאת נשק היא עבירה חמורה.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים הנאשם מחזיק בנשק באופן ישיר. בתיק 1 יש גם אלמנט של התנגדות למעצר, מה שמצביע על מעורבות אקטיבית יותר.
3. **שיטת הביצוע (MO):** בשני המקרים הנשק נמצא בהפרדה מהתחמושת. בשני המקרים אין שימוש ב"
SH-19-07-60805-168,ME-20-01-17935-7,1,35,"SIMILARITY_SCORE: 35
"
ME-17-05-633-549,ME-19-04-1316-977,3,65,"
SIMILARITY_SCORE: 65



**הסבר:**

1. **סוג העבירה וחומרתה:** שני התיקים עוסקים בסחר בנשק (144ב) ובנוסף בתיק 1 גם בהחזקה (144א). חומרת העבירה דומה - סחר בנשק היא עבירה חמורה.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים הנאשם מעורב בסחר, כלומר לא רק מחזיק אלא גם מנסה להפיק רווח.
3. **שיטת הביצוע (MO):** בשני התיקים מדובר בעסקאות מכירה/החלפה של נשק עבור כסף.
4. **נסיבות הליבה:** בשני התיקים יש תכנון מראש"
ME-16-05-336-804,ME-15-12-39071-113,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** תיק 1 - נשיאה/הובלה (144ב) + שימוש, חמור יותר מתיק 2 - החזקה בלבד (144א). פער משמעותי.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים הנאשם מחזיק בנשק ברכב, אך בתיק 1 יש מעורבות של נהג נוסף וניסיון בריחה, מה שמצביע על מעורבות אקטיבית יותר.
3. **שיטת הביצוע (MO):** בשני המקרים הנשק היה ברכב, אך בתיק 1 הנשק היה על גופו של הנאשם ובתיק 2 מ"
ME-15-12-39071-113,ME-09-11-7566-913,3,40,"SIMILARITY_SCORE: 40
"
ME-15-12-39071-113,ME-13-02-28360-614,1,35,"SIMILARITY_SCORE: 35
"
ME-16-05-336-804,ME-14-12-6904-57,3,65,"SIMILARITY_SCORE: 65
"
ME-19-04-1316-977,SH-11-05-24791-315,1,35,"SIMILARITY_SCORE: 35
"
ME-16-06-42987-901,ME-14-10-31218-522,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** שניהם עבירות נשק, אך תיק 1 כולל נשיאה (144ב) ועבירות חמורות נוספות (איומים, חבלה, סחר בסמים, גניבה), בעוד תיק 2 הוא החזקה בלבד (144א). חומרת תיק 1 גבוהה משמעותית.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם מעורב בפעולות אקטיביות (ירי, זריקת רימון) ובעבירות נוספות, בעוד בתיק 2 מדובר בהחזקה בלבד.
3. **שיטת הביצוע (MO):** בשני"
ME-16-06-64845-657,ME-12-03-13401-281,1,65,"SIMILARITY_SCORE: 65
"
ME-20-01-62688-591,ME-22-03-52964-443,2,75,"SIMILARITY_SCORE: 75
"
ME-20-01-62688-591,ME-17-05-35227-215,1,75,"SIMILARITY_SCORE: 75
"
SH-14-02-28659-762,ME-16-05-19384-544,1,35,"SIMILARITY_SCORE: 35
"
ME-19-01-53615-8,ME-16-11-69158-529,3,75,"
SIMILARITY_SCORE: 75"
SH-19-07-60805-168,ME-14-10-31218-522,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** שניהם עבירות החזקת נשק (144א), אך תיק 2 כולל שימוש ברימון, מה שמגביר משמעותית את החומרה.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים מדובר בהחזקה, אך בתיק 2 יש גם שימוש אקטיבי בנשק.
3. **שיטת הביצוע (MO):** שונה מאוד. הסלקה ברכב לעומת החזקה על הגוף ושימוש מיידי.
4. **נסיבות הליבה:** תיק 1 כולל תחמושת, תיק 2 לא. תיק 2 כולל שימוש ברימון ופוטנ"
ME-17-04-613-913,ME-12-04-33577-700,1,65,"SIMILARITY_SCORE: 65
"
ME-16-05-25902-514,SH-17-08-47445-166,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** שניהם עוסקים בהחזקת נשק (144א), אך תיק 1 כולל גם נשיאת נשק (144ב) - מה שמגדיל את חומרתו.
2. **תפקיד הנאשם ומעורבותו:** בשני התיקים הנאשם הוא מחזיק, אך בתיק 1 יש גם נשיאה לעבודה, המעידה על מעורבות אקטיבית יותר.
3. **שיטת הביצוע (MO):** בשני התיקים הנשק הוחזק בבית.
4. **נסיבות הליבה:** תיק 1 כולל תחמושת (7 כדורים) וציון של הגנה עצמית כמט"
ME-16-06-44840-433,SH-09-05-9349-998,1,35,"
SIMILARITY_SCORE: 35



**הסבר:**

1. **סוג העבירה וחומרתה:** תיק 1 כולל החזקה *ונשיאה* של נשק (144א+144ב) וגם עבירות נוספות של סיוע לתקיפה, בעוד תיק 2 עוסק רק בהחזקה (144א). חומרת תיק 1 גבוהה משמעותית.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם מעורב בסכסוך, יש מעורבים נוספים, והנשק הועבר ממקום למקום - מעורבות אקטיבית. בתיק 2 מדובר בהחזקה בבית, ללא מעורבות נוספת או פעולה אקטיבית.
"
SH-16-04-30406-325,SH-16-11-7544-55,3,65,"SIMILARITY_SCORE: 65
"
ME-16-04-12480-812,SH-16-05-42991-439,1,45,"SIMILARITY_SCORE: 45
"
ME-21-10-18557-340,ME-16-10-9348-780,1,45,"SIMILARITY_SCORE: 45
"
ME-16-05-9968-487,ME-13-04-35007-454,3,65,"SIMILARITY_SCORE: 65
"
ME-16-11-69158-529,ME-14-12-6904-57,2,65,"
SIMILARITY_SCORE: 65
"
ME-15-12-39071-113,ME-10-08-17917-313,3,65,"SIMILARITY_SCORE: 65
"
ME-16-06-44840-433,ME-12-09-51207-971,1,45,"
SIMILARITY_SCORE: 45



**הסבר:**

1. **סוג העבירה וחומרתה:** שני התיקים כוללים סעיפי 144(א) ו-144(ב) לחוק העונשין, כלומר החזקה ונשיאה של נשק. עם זאת, תיק 1 עוסק ברימונים (פוטנציאל פגיעה גבוה) ותיק 2 בנשק חם. הירי בתיק 2 מחמיר את חומרת העבירה.
2. **תפקיד הנאשם ומעורבותו:** בתיק 1 הנאשם מעורב עם אחרים, ויש אלמנט של העברה והסלקה, מה שמצביע על מעורבות רחבה יותר. בתיק 2, הנאשם ייצר את הנ"
