verdict_1,verdict_2,domain,similarity_score
תפ_19835-04-13,תפח_30145-08-13,weapon,2.8025353
תפ_36831-09-13,תפ_5911-11-16,drugs,6.8919406
תפ_28787-04-22,תפ_35431-03-21,weapon,4.3547993
תפ_16760-09-22,תפ_63155-05-23,weapon,6.8141866
תפ_18210-05-23,תפ_31935-12-21,weapon,3.3060107
תפ_10650-11-21,תפ_1580-11-23,weapon,2.916565
תפ_35295-09-23,תפ_58524-11-19,weapon,0.34286585
תפ_10875-12-21,תפ_21029-10-19,weapon,6.576028
תפ_57001-11-21,תפ_59067-10-21,weapon,5.3871174
תפ_14115-07-19,תפ_7735-04-19,weapon,6.9800477
תפ_28845-04-22,תפח_17033-01-22,weapon,4.087798
תפ_34669-01-23,תפ_58027-12-21,weapon,10.149416
תפ_21503-07-23,תפ_42164-10-19,drugs,7.776699
תפ_25631-03-22,תפ_52848-09-22,weapon,10.015984
עפ_6029-03,תפ_59971-01-17,drugs,8.2983265
תפ_22417-12-21,תפ_52789-09-22,weapon,4.1557684
תפ_25639-03-21,תפ_69640-10-18,weapon,4.2066526
תפ_59422-07-14,תפ_63355-02-23,weapon,2.9747078
תפ_46108-06-20,תפ_59260-03-16,weapon,7.4691668
תפ_23648-12-19,תפ_4248-06-16,weapon,3.449358
תפ_19759-07-21,תפ_23253-12-15,weapon,3.9787824
תפ_27277-01-15,תפ_66319-05-20,weapon,5.920655
תפ_50626-09-22,תפ_53377-09-22,weapon,5.654572
תפ_11545-01-19,תפ_59811-06-20,drugs,9.272839
תפ_22417-12-21,תפ_58027-12-21,weapon,6.341814
תפ_17304-12-17,תפ_21696-04-20,weapon,5.292354
תפ_45181-01-14,תפ_48352-05-15,drugs,1.9681152
תפ_11104-07-19,תפ_33420-12-20,weapon,2.6636243
תפ_44129-09-19,תפ_49305-06-16,drugs,19.992495
תפ_31334-11-15,תפ_44157-08-16,weapon,2.1978986
תפ_3910-02-23,תפ_52964-03-22,weapon,8.987641
תפ_3526-04-21,תפ_69278-05-18,drugs,3.7274544
תפ_11104-07-19,תפ_18689-01-17,weapon,4.189734
תפ_20477-02-20,תפ_40999-01-21,weapon,1.6528949
תפ_35843-03-22,תפ_37966-04-23,weapon,2.5955641
תפ_1197-11-21,תפ_30197-04-17,drugs,10.27257
תפ_51810-03-15,תפ_62794-11-21,drugs,0.13460806
תפ_1631-01-22,תפ_52479-01-18,weapon,3.9433627
תפ_18912-06-23,תפ_28845-04-22,weapon,3.092366
תפ_16996-08-12,תפ_27685-11-15,weapon,4.856238
תפ_1589-02-16,תפ_57539-11-15,weapon,4.5682306
תפ_3531-12-13,תפ_52077-12-20,weapon,4.291758
תפ_36287-01-22,תפ_62452-10-20,weapon,6.727152
תפ_395-05-17,תפ_43009-08-20,weapon,3.7138784
תפ_31862-05-13,תפ_59260-03-16,weapon,3.5380723
תפ_31498-01-16,תפ_37386-11-13,weapon,2.0075734
תפ_1506-02-24,תפ_9675-11-17,drugs,5.430188
תפ_15023-05-20,תפ_60380-03-22,drugs,0.292263
תפ_40313-09-15,תפ_46737-07-22,weapon,2.5051596
תפ_17856-06-17,תפ_23992-11-21,weapon,2.4243553
תפ_32227-11-20,תפ_46930-03-22,weapon,6.471311
תפ_17137-11-21,תפ_34694-09-21,weapon,3.674692
תפ_34792-10-18,תפ_59971-01-17,drugs,11.3312025
תפ_57001-11-21,תפח_53698-03-17,weapon,6.7545104
תפ_3728-01-15,תפ_40450-09-15,weapon,7.239071
תפ_33420-12-20,תפ_37386-11-13,weapon,2.8651092
תפ_1219-06-23,תפח_4986-04-11,weapon,3.4589896
תפ_31736-06-21,תפ_66114-01-23,drugs,22.832092
תפ_33898-01-22,תפ_59274-02-22,drugs,26.739763
תפ_28100-07-20,תפ_44840-06-16,weapon,11.074168
תפ_11843-03-20,תפ_23648-12-19,weapon,6.508849
תפ_41694-03-20,תפ_61158-05-20,weapon,3.9570515
תפ_44620-01-22,תפ_53496-03-18,weapon,1.3678615
תפ_29947-07-23,תפ_7617-07-23,weapon,3.943039
תפ_46896-11-15,תפ_49875-05-23,drugs,1.779523
תפ_35202-10-15,תפ_49244-01-22,drugs,4.88238
תפ_35512-06-17,תפ_522-05-17,weapon,0.0
תפ_26549-09-21,תפ_32775-09-23,weapon,7.127874
תפ_7626-04-20,תפח_39094-05-12,weapon,1.0475835
תפ_10896-06-20,תפ_26478-04-22,weapon,5.1019416
תפ_18013-01-15,תפח_30145-08-13,weapon,5.3063436
תפ_10316-06-13,תפ_49932-08-21,drugs,6.875924
תפ_38687-04-20,תפ_983-05-15,weapon,6.259845
תפ_24239-05-17,תפ_50970-11-21,drugs,5.2414985
תפ_52569-05-16,תפ_7696-05-20,drugs,0.27715594
תפ_13153-08-15,תפ_41276-06-17,weapon,10.733907
תפ_46108-06-20,תפ_57914-10-13,weapon,2.5823014
תפ_27929-03-19,תפ_41775-01-11,weapon,0.9941255
תפ_35074-05-17,תפ_40063-03-18,drugs,9.170494
תפ_12743-08-22,תפ_27277-01-15,weapon,4.162714
תפ_13785-04-15,תפ_1580-11-23,weapon,5.1588087
תפ_30003-03-22,תפ_6968-01-24,weapon,4.6385803
תפ_19384-05-16,תפ_39998-08-15,weapon,8.006202
תפ_18557-10-21,תפ_39808-05-23,weapon,6.012603
תפ_10180-01-24,תפ_61452-12-22,weapon,5.324388
תפ_59260-03-16,תפח_56363-07-20,weapon,4.270857
