verdict_1,verdict_2,domain,similarity_score
תפ_19835-04-13,תפח_30145-08-13,weapon,91.705734
תפ_36831-09-13,תפ_5911-11-16,drugs,91.95087
תפ_28787-04-22,תפ_35431-03-21,weapon,93.639595
תפ_16760-09-22,תפ_63155-05-23,weapon,93.965515
תפ_18210-05-23,תפ_31935-12-21,weapon,92.45375
תפ_10650-11-21,תפ_1580-11-23,weapon,93.81618
תפ_35295-09-23,תפ_58524-11-19,weapon,84.01112
תפ_10875-12-21,תפ_21029-10-19,weapon,94.45456
תפ_57001-11-21,תפ_59067-10-21,weapon,94.23422
תפ_14115-07-19,תפ_7735-04-19,weapon,95.199
תפ_28845-04-22,תפח_17033-01-22,weapon,91.351524
תפ_34669-01-23,תפ_58027-12-21,weapon,94.08099
תפ_21503-07-23,תפ_42164-10-19,drugs,94.09442
תפ_25631-03-22,תפ_52848-09-22,weapon,94.04639
עפ_6029-03,תפ_59971-01-17,drugs,96.73853
תפ_22417-12-21,תפ_52789-09-22,weapon,90.10382
תפ_25639-03-21,תפ_69640-10-18,weapon,95.33319
תפ_59422-07-14,תפ_63355-02-23,weapon,91.470245
תפ_46108-06-20,תפ_59260-03-16,weapon,94.61725
תפ_23648-12-19,תפ_4248-06-16,weapon,92.635635
תפ_19759-07-21,תפ_23253-12-15,weapon,91.081474
תפ_27277-01-15,תפ_66319-05-20,weapon,95.64946
תפ_50626-09-22,תפ_53377-09-22,weapon,94.28175
תפ_11545-01-19,תפ_59811-06-20,drugs,98.02461
תפ_22417-12-21,תפ_58027-12-21,weapon,93.35172
תפ_17304-12-17,תפ_21696-04-20,weapon,93.97937
תפ_45181-01-14,תפ_48352-05-15,drugs,91.006454
תפ_11104-07-19,תפ_33420-12-20,weapon,92.07156
תפ_44129-09-19,תפ_49305-06-16,drugs,97.152626
תפ_31334-11-15,תפ_44157-08-16,weapon,91.581
תפ_3910-02-23,תפ_52964-03-22,weapon,95.77113
תפ_3526-04-21,תפ_69278-05-18,drugs,93.31304
תפ_11104-07-19,תפ_18689-01-17,weapon,91.66393
תפ_20477-02-20,תפ_40999-01-21,weapon,87.736725
תפ_35843-03-22,תפ_37966-04-23,weapon,91.19191
תפ_1197-11-21,תפ_30197-04-17,drugs,96.47092
תפ_51810-03-15,תפ_62794-11-21,drugs,84.8453
תפ_1631-01-22,תפ_52479-01-18,weapon,95.94425
תפ_18912-06-23,תפ_28845-04-22,weapon,92.563896
תפ_16996-08-12,תפ_27685-11-15,weapon,92.852425
תפ_1589-02-16,תפ_57539-11-15,weapon,91.68633
תפ_3531-12-13,תפ_52077-12-20,weapon,92.66021
תפ_36287-01-22,תפ_62452-10-20,weapon,93.20191
תפ_395-05-17,תפ_43009-08-20,weapon,93.9287
תפ_31862-05-13,תפ_59260-03-16,weapon,95.14925
תפ_31498-01-16,תפ_37386-11-13,weapon,91.98982
תפ_1506-02-24,תפ_9675-11-17,drugs,93.746025
תפ_15023-05-20,תפ_60380-03-22,drugs,84.329735
תפ_40313-09-15,תפ_46737-07-22,weapon,94.861534
תפ_17856-06-17,תפ_23992-11-21,weapon,93.1109
תפ_32227-11-20,תפ_46930-03-22,weapon,94.16271
תפ_17137-11-21,תפ_34694-09-21,weapon,95.23558
תפ_34792-10-18,תפ_59971-01-17,drugs,95.36748
תפ_57001-11-21,תפח_53698-03-17,weapon,92.21885
תפ_3728-01-15,תפ_40450-09-15,weapon,94.23456
תפ_33420-12-20,תפ_37386-11-13,weapon,91.39296
תפ_1219-06-23,תפח_4986-04-11,weapon,89.54023
תפ_31736-06-21,תפ_66114-01-23,drugs,95.13484
תפ_33898-01-22,תפ_59274-02-22,drugs,95.78746
תפ_28100-07-20,תפ_44840-06-16,weapon,94.35218
תפ_11843-03-20,תפ_23648-12-19,weapon,93.44395
