verdict,domain,split
תפ_3725-08-17,drugs,train
תפ_8336-04-14,drugs,test
תפח_17033-01-22,drugs,train
תפ_40239-09-17,drugs,train
תפ_1187-04-22,drugs,train
תפ_48152-02-20,drugs,train
תפ_24548-06-13,drugs,test
תפ_37764-03-21,drugs,train
תפ_13781-01-24,drugs,train
תפ_38315-12-15,drugs,train
תפ_43632-05-17,drugs,test
תפ_34222-02-20,drugs,train
תפ_35566-04-18,drugs,train
תפ_15457-09-18,drugs,train
תפ_58282-05-20,drugs,test
תפ_36216-09-12,drugs,test
תפ_52882-04-15,drugs,test
תפ_23062-12-21,drugs,test
תפ_26494-03-13,drugs,train
תפ_38450-09-20,drugs,train
תפ_42704-01-20,drugs,train
תפ_51140-08-23,drugs,train
תפ_39201-05-18,drugs,test
תפ_40305-08-13,drugs,test
תפ_10603-12-18,drugs,train
תפ_22609-10-16,drugs,train
תפ_29731-05-21,drugs,train
תפק_57763-10-17,drugs,train
תפ_1276-05-15,drugs,train
תפ_63025-03-15,drugs,train
תפ_26928-08-19,drugs,train
גמר_1463-10-23,drugs,test
תפח_31343-04-19,drugs,train
תפ_18163-03-15,drugs,train
תפ_21127-08-21,drugs,test
תפ_1516-10-16,drugs,test
תפ_16015-05-21,drugs,test
תפ_23613-02-22,drugs,train
תפ_3750-08-20,drugs,train
תפ_45199-01-22,drugs,train
תפ_63172-11-20,drugs,train
תפ_64418-09-16,drugs,test
תפ_46786-04-18,drugs,test
תפ_11592-05-19,drugs,test
תפ_22679-09-16,drugs,train
תפ_809-09-18,drugs,train
תפ_2200-02-18,drugs,train
תפ_50607-03-19,drugs,train
תפ_7629-11-17,drugs,train
תפ_20928-07-12,drugs,test
תפ_32356-04-22,drugs,train
תפ_18218-11-19,drugs,train
תפ_8887-10-21,drugs,train
תפ_6431-05-13,drugs,train
תפ_54696-06-17,drugs,train
תפ_51036-08-15,drugs,train
תפ_12241-08-20,drugs,train
תפ_63672-03-19,drugs,test
תפ_21137-11-23,drugs,train
תפ_25859-10-19,drugs,train
