verdict_1,verdict_2,GT,model_score,raw
SH-16-04-30406-325,ME-16-02-59812-881,1,25.0,SIMILARITY_SCORE: 25
ME-16-05-25902-514,ME-16-11-56385-886,3,35.0,"# ניתוח השוואתי

## 1. סוג העבירה וחומרתה
- **תיק 1**: 144(ב) + 144(א) — נשיאה **והחזקה**
- **תיק 2**: 144(א) בלבד — החזקה בלבד
- **הבדל מהותי**: 144(ב) (נשיאה/הובלה) חמורה משמעותית מ-144(א) בלבד

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: רכש את הנשק, תכנון מראש, החזקה בבית ועל גופו
- **תיק 2**: גנב את הנשק, ללא תכנון מוקדם
- **הבדל**: רכישה מתוכננת לעומת גניבה ספונטנית

## 3. שיטת הביצוע (MO)
- **תיק 1**: רכישה + החזקה בבית + נשיאה על הגוף, מטרה מוצהרת (הגנה עצמית)
- **תיק 2**: גניבה + החזקה על הגוף, מטרה לא ברורה
- **דמיון חלקי**: שניהם נשק טעון ומוכן לירי על הגוף

## 4. נסיבות הליבה
- **דמיון**: אקדח טעון ומוכן לירי, כמות תחמושת דומה (7 כדורים), ללא שימוש בפועל
- **הבדל**: תיק 1 כולל גם מטען חבלה, תכנון מראש, והחזקה בבית

## 5. ישימות כתקדים
- תיק 2 (144(א) בלבד) **כמעט אף פעם לא מהווה תקדים** לתיק 1 (144(ב)+144(א))
- ההבדל בין החזקה סטטית לנשיאה פעילה הוא מהותי בדיני ענישה
- אופן הרכישה שונה (רכש לעומת גניבה)

**SIMILARITY_SCORE: 35**"
ME-18-06-36728-73,ME-16-09-398-589,3,85.0,SIMILARITY_SCORE: 85
SH-17-10-10556-234,ME-16-11-13999-863,1,35.0,SIMILARITY_SCORE: 35
SH-17-10-10556-234,m08000207-175,1,35.0,SIMILARITY_SCORE: 35
SH-18-06-11098-353,ME-16-03-54615-517,1,25.0,"# ניתוח השוואתי

## 1. סוג העבירה וחומרתה
- **תיק 1**: אחזקת נשק (144א, 144ב) - עבירת החזקה/נשיאה
- **תיק 2**: סחר בנשק (144ב2) - עבירה חמורה יותר משמעותית
- **הבדל מהותי**: סחר לעומת החזקה הוא הבדל קרדינלי בחומרה ובאופי העבירה

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: מחזיק/נושא - ""מצא"" נשק, החזיק בבית
- **תיק 2**: סוחר פעיל - ""בצע כסף"", תכנון מוכח
- **הבדל מהותי**: פסיבי לעומת פעיל-מסחרי

## 3. שיטת הביצוע (MO)
- **תיק 1**: החזקה סטטית בבית, מוסתר
- **תיק 2**: פעילות מסחרית מתוכננת
- **שונה לחלוטין**

## 4. נסיבות הליבה
- **תיק 1**: רובה סער + מחסניות ותחמושת, נשק עם כדור בקנה
- **תיק 2**: תת-מקלע קרלו (2 יחידות), נשק עם כדור בקנה
- **דמיון חלקי**: שני התיקים כוללים נשק מסוכן עם כדור בקנה, אך הקשר שונה

## 5. ישימות כתקדים
- תיק סחר בנשק (144ב2) **לא יכול** לשמש תקדים ענייני לתיק החזקה (144א/ב)
- הפסיקה מבחינה בבירור בין עבירות החזקה לעבירות סחר
- רמת האשמה והענישה שונות באופן מהותי

**SIMILARITY_SCORE: 25**"
ME-17-05-633-549,ME-19-04-1316-977,3,78.0,SIMILARITY_SCORE: 78
ME-16-04-12480-812,ME-13-10-28139-807,3,85.0,SIMILARITY_SCORE: 85
ME-17-05-633-549,ME-09-05-16192-355,1,25.0,"בואי נבחן את הממדים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(א) החזקה + 144(ב) נשיאה + 144(ג) סחר/רכישה - **עבירות מורכבות, כולל סחר**
- תיק 2: 144(ב) נשיאה/הובלה בלבד - **עבירת נשיאה פשוטה**
- **פער משמעותי** - תיק 1 כולל סחר (חמור יותר), תיק 2 רק נשיאה

**2. תפקיד הנאשם:**
- תיק 1: ""בצע כסף"" + רכש + סחר - **סוחר/יזם פעיל**
- תיק 2: קיבל ""מאחר"", לא ברור למה - **מחזיק/נושא, תפקיד פסיבי יותר**

**3. שיטת ביצוע:**
- תיק 1: נשק בבית, מוסתר, תכנון - **החזקה מתוכננת למטרת סחר**
- תיק 2: ברכב, ניסיון בריחה מהמשטרה - **נשיאה ספונטנית, נתפס בפעולה**

**4. נסיבות הליבה:**
- תיק 1: 3 אקדחים + תת מקלע מאולתר + מאות כדורים - **מלאי גדול**
- תיק 2: תת מקלע אחד + מחסנית אחת (10 כדורים) - **פריט בודד**
- **פער עצום בכמות**

**5. ישימות כתקדים:**
- תיק 1 עוסק בסחר בנשק עם מלאי גדול ותכנון
- תיק 2 עוסק בנשיאה בודדת ללא הקשר מסחרי
- בית משפט יתקשה לראות את תיק 1 כתקדים רלוונטי לתיק 2 - **הפרופיל העבריין שונה לחלוטין**

**מסקנה:** למרות שניהם בתחום נשק, הדמיון שטחי בלבד. תיק 1 הוא תיק סחר מורכב"
ME-16-05-336-804,ME-15-12-39071-113,1,25.0,SIMILARITY_SCORE: 25
ME-16-10-12213-904,ME-09-05-16192-355,3,62.0,"# ניתוח השוואתי

## 1. סוג העבירה וחומרתה
- **שניהם**: 144(ב) - נשיאה/הובלה של נשק אסור
- **תיק 1**: נשק מאולתר (קרל גוסטב) + כדור אחד
- **תיק 2**: תת מקלע + מחסנית עם 10 כדורים
- **חומרה**: תיק 2 חמור יותר (תת מקלע מול נשק מאולתר, 10 כדורים מול 1)

## 2. תפקיד הנאשם ומעורבותו
- **שניהם**: נושאים/מובילים נשק ברכב
- **תיק 1**: קיבל מאחר, תכנון מראש, קשור לסכסוך
- **תיק 2**: קיבל מאחר, ללא תכנון ברור, מטרה לא ברורה

## 3. שיטת הביצוע (MO)
- **זהה**: שניהם החזיקו נשק ברכב, מוסתר
- **זהה**: שניהם נשק עם כדור בקנה (מסוכן במיוחד)
- **שונה**: תיק 1 - גם סמוך לבית; תיק 2 - ניסיון בריחה מהמשטרה

## 4. נסיבות הליבה
- **כמות**: תיק 2 משמעותית יותר (10 כדורים מול 1)
- **סוג נשק**: תיק 2 חמור יותר (תת מקלע מול מאולתר)
- **נסיבות מחמירות בתיק 1**: תקיפה + חבלה, תכנון, סכסוך
- **נסיבות מחמירות בתיק 2**: ניסיון בריחה, עבר פלילי חמור (שוד מזוין, יריות)

## 5. ישימות כתקדים
- **בעד**: אותה עבירה מרכזית (144ב), אותו MO (רכב), שניהם עם כדור בקנה
- **נגד**: הבדלים בחומרת הנשק, כמות תחמושת, הקשר (סכסוך מול "
ME-16-10-9348-780,SH-10-02-25802-731,1,25.0,"בואי נבחן את הממדים המהותיים:

**1. סוג העבירה וחומרתה:**
- תיק 1: 144(ב) - **נשיאה/הובלה** של נשק ותחמושת
- תיק 2: 144(א) - **החזקה בלבד** של נשק ותחמושת
- הבדל מהותי: נשיאה היא עבירה חמורה יותר מהחזקה סטטית

**2. תפקיד הנאשם ומעורבותו:**
- תיק 1: קיבל מאחר, נשא ברכב ובבית
- תיק 2: מצא, החזיק בבית בלבד
- הבדל: מעורבות פעילה יותר בתיק 1

**3. שיטת הביצוע:**
- תיק 1: נשיאה פעילה (ברכב + בבית)
- תיק 2: החזקה פסיבית (בבית בלבד)
- הבדל משמעותי בדינמיות העבירה

**4. נסיבות הליבה:**
- שניהם: רובה צייד, תחמושת (75 כדורים בתיק 1, לא מצוין בתיק 2), נשק עם כדור בקנה
- דמיון חלקי בסוג הנשק, אך הבדל בהקשר השימוש

**5. ישימות כתקדים:**
- תיק 144(א) כמעט אף פעם לא משמש תקדים לתיק 144(ב)
- ההבדל המשפטי בין החזקה לנשיאה הוא קריטי לענישה
- בתי משפט מבחינים בחדות בין שתי העבירות

**מסקנה:** למרות הדמיון בסוג הנשק (רובה צייד), ההבדל בין 144(א) ל-144(ב) הוא מהותי ומונע שימוש כתקדים רלוונטי.

SIMILARITY_SCORE: 25"
ME-16-05-25902-514,ME-12-05-33444-999,3,35.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **תיק 1**: 144(ב) **+ 144(א)** — נשיאה והחזקה
- **תיק 2**: **144(א) בלבד** — החזקה בלבד
- **הבדל מהותי**: תיק 1 כולל נשיאה פעילה (על גופו), תיק 2 החזקה סטטית ברכב

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: רכש פעיל, החזקה בבית **ונשיאה על גופו**
- **תיק 2**: קיבל מאחר, החזקה ברכב בלבד
- **הבדל**: מעורבות פעילה יותר בתיק 1

## 3. שיטת הביצוע
- **תיק 1**: נשיאה גלויה על הגוף + החזקה בבית
- **תיק 2**: הסתרה מכוונת ברכב (מתחת למושב, בתיק)
- **הבדל**: דפוסי החזקה שונים

## 4. נסיבות הליבה
- **משותף**: אקדח, כדור בקנה, מטרת הגנה עצמית, תכנון, אין שימוש
- **שונה**: תיק 1 כולל גם מטען חבלה; כמות תחמושת בתיק 2 לא מוגדרת במדויק

## 5. ישימות כתקדים
- **בעייתי**: תיק 1 הוא 144(ב)+144(א), תיק 2 הוא 144(א) בלבד
- הפסיקה מבחינה בבירור בין נשיאה להחזקה — **תיק 144(ב) כמעט לעולם לא משמש תקדים ל-144(א) בלבד**
- הדמיון בנסיבות הרקע (הגנה עצמית, תכנון) לא מספיק כשהעבירה עצמה שונה מהותית

**SIMILARITY_SCORE: 35**"
ME-15-08-44579-251,ME-14-12-6904-57,2,42.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שני התיקים**: עבירה לפי סעיף 144(ב) - נשיאה/הובלת נשק
- **תיק 1**: אקדח + מחסנית ריקה + כדור בקנה
- **תיק 2**: רובה מאולתר (קרל גוסטב) + מחסנית עם כדורים
- **הבדל מהותי**: רובה מאולתר חמור יותר מאקדח; תיק 2 כולל תחמושת מלאה

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: נשא את הנשק על גופו בזמן נסיעה על קטנוע, טען שמצא אותו
- **תיק 2**: החזיק נשק בבית (בארון) ובתיק גב, רכש אותו במסגרת סכסוך
- **הבדל**: תיק 1 - נשיאה פעילה במרחב ציבורי; תיק 2 - החזקה בבית + רכישה מכוונת

## 3. שיטת הביצוע (MO)
- **תיק 1**: נשיאה על הגוף במהלך נסיעה, בריחה מהמשטרה, עבירות תנועה
- **תיק 2**: החזקה סטטית בבית, הובלה בתיק גב
- **שוני מהותי**: דינמיקה שונה לחלוטין

## 4. נסיבות הליבה
- **תיק 1**: מחסנית ריקה, נסיבות מחמירות (בריחה, עבירות תנועה מסוכנות)
- **תיק 2**: תחמושת מלאה, רקע של סכסוך, עבירת סמים נוספת
- **שוני**: כמות תחמושת, הקשר (בריחה vs. סכסוך)

## 5. ישימות כתקדים
- שני התיקים הם 144(ב) - יש בסיס משותף
- אך: סוג נשק שונה (אקדח vs. רובה מאול"
ME-17-05-633-549,ME-16-03-54615-517,2,72.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **תיק 1**: 144(א) החזקה + 144(ב2) נשיאה + 144(ג) סחר | אקדח + תת-מקלע מאולתר
- **תיק 2**: 144(ב2) נשיאה + סחר | תת-מקלע קרלו (נשק מלחמה)
- **הערכה**: שניהם כוללים סחר ונשיאה, אך תיק 2 חמור יותר (תת-מקלע מלחמה לעומת נשק מאולתר)

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: רכש נשק, החזיק, סחר - מעורבות פעילה מלאה
- **תיק 2**: טען שמצא, אך הורשע בסחר - מעורבות פעילה בסחר
- **הערכה**: שניהם סוחרים פעילים

## 3. שיטת הביצוע (MO)
- **תיק 1**: החזקה בבית מוסתר, תכנון, מטרה כלכלית
- **תיק 2**: החזקה סמוך לבית, תכנון, מטרה כלכלית
- **הערכה**: דפוס דומה מאוד - שניהם מניע כלכלי, תכנון, החזקה ליד מקום מגורים

## 4. נסיבות הליבה
- **תיק 1**: 3 אקדחים + תת-מקלע מאולתר + מאות כדורים + 2 מחסניות | נשק עם כדור בקנה
- **תיק 2**: תת-מקלע קרלו | נשק עם כדור בקנה | אין נתון על תחמושת
- **הערכה**: שניהם נשק טעון, אך תיק 1 כולל כמות נשק גדולה יותר

## 5. ישימות כתקדים
- שניהם עבירות **סחר בנשק** (144ב2) - זהה
- שניהם **מניע כלכלי** - זהה
- שניהם **תכנון"
ME-20-01-62688-591,ME-16-09-398-589,3,85.0,SIMILARITY_SCORE: 85
ME-16-06-42987-901,ME-16-06-44840-433,3,78.0,SIMILARITY_SCORE: 78
ME-21-10-18557-340,SH-11-01-41775-497,1,25.0,SIMILARITY_SCORE: 25
ME-16-06-42987-901,ME-14-10-31218-522,1,72.0,SIMILARITY_SCORE: 72
ME-18-05-32659-754,ME-15-02-9111-399,2,35.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **תיק 1**: 144(ב) + 275 (נשיאה/הובלה + הפרעה לשוטר) - תחמושת בלבד (מחסנית ריקה + כדורים)
- **תיק 2**: 144(א)+(ב) (החזקה + נשיאה) - **אקדח מלא עם מחסנית וכדורים**

**הבדל מהותי**: תיק 2 כולל נשק ממש (אקדח), תיק 1 רק תחמושת ומחסנית ריקה. זהו הבדל חומרה משמעותי.

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: טוען שמצא את התחמושת
- **תיק 2**: קיבל מאחר, בהקשר של סכסוך

שניהם מעורבות פסיבית יחסית (לא סוחרים/יזמים).

## 3. שיטת ביצוע (MO)
- **תיק 1**: ברכב, מוסתר בשקית
- **תיק 2**: בבית (סוכת אבלים)

שונה לחלוטין.

## 4. נסיבות הליבה
- **תיק 1**: 19 כדורים + מחסנית ריקה + ערכת ניקוי
- **תיק 2**: אקדח + 13 כדורים במחסנית (נשק מוכן לשימוש)
- שניהם: אין שימוש בפועל, אין תכנון מוכח

**הבדל קריטי**: נשק מלא לעומת תחמושת בלבד.

## 5. ישימות כתקדים
בית משפט יתקשה להשתמש בתיק 1 כתקדים לתיק 2:
- החזקת אקדח מלא חמורה משמעותית מהחזקת תחמושת בלבד
- תיק 1 כולל עבירה נוספת (275) שמסבכת את התמונה
- ההקשר שונה (רכב מול בית, סכסוך מול ""מציאה"")

**דמיון חל"
ME-16-05-336-804,ME-16-11-69158-529,3,85.0,SIMILARITY_SCORE: 85
SH-17-10-10556-234,m07001074-98,2,25.0,SIMILARITY_SCORE: 25
SH-19-07-60805-168,ME-14-10-31218-522,1,25.0,SIMILARITY_SCORE: 25
ME-16-06-44840-433,SH-11-05-24791-315,1,15.0,SIMILARITY_SCORE: 15
ME-16-08-229-604,ME-16-05-19384-544,1,25.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **תיק 1**: עבירות נשק מרובות (144א+ב+ב2) + חבלה מחמירה + גניבת רכב + הצתה + ירי בשטח בנוי + התפרעות
- **תיק 2**: עבירות נשק (144א+ב+ב2) + **סחר בנשק** + ניסיון לחבלה חמורה

**הבדל מהותי**: תיק 2 כולל **סחר בנשק** (רכישה ממספר מקורות, החזקת מספר רובים) - פרופיל של סוחר/יזם. תיק 1 הוא שימוש אלים בנשק בהקשר של סכסוך רחוב.

## 2. תפקיד הנאשם ומעורבותו
- **תיק 1**: משתמש אלים בנשק (ירי, יידוי אבנים, בקבוקי תבערה, התפרעות)
- **תיק 2**: **סוחר בנשק** - רכש מספר רובים (תבור + 2 קרל גוסטב) למטרת רווח

**הבדל קריטי**: פרופיל פלילי שונה לחלוטין.

## 3. שיטת הביצוע (MO)
- **תיק 1**: אלימות רחוב מאורגנת - ירי, הצתה, התפרעות, גניבת רכב
- **תיק 2**: פעילות מסחרית בנשק - רכישה ממספר מקורות

**שונה מהותית**.

## 4. נסיבות הליבה
- **כמות**: תיק 1 (אקדח + רובה סער + 8 כדורים), תיק 2 (**3 רובים** - תבור + 2 קרל גוסטב + 10 כדורים)
- **חומרה**: תיק 2 חמור יותר בהיבט הכמות והסחר
- **שימוש בפועל**: שניהם כוללים ירי, אך תיק 1 כולל אלימות רחבה נוספת

##"
ME-16-02-18397-87,ME-20-01-62688-591,1,35.0,SIMILARITY_SCORE: 35
