verdict,text,part
SH-19-02-72806-706,בית משפט השלום באילת,nothing
SH-19-02-72806-706,תיק חיצוני: 141555/2018,"ת""פ 72806-02-19 מדינת ישראל נ' טובול ואח'"
SH-19-02-72806-706,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג), 36א",חקיקה שאוזכרה:
SH-19-02-72806-706,"חוק העונשין, תשל""ז-1977: סע'  40ד, 40ד(א)., 40יא",חקיקה שאוזכרה:
SH-19-02-72806-706,"הנאשם, דניאל טובול (להלן: הנאשם), הורשע על פי הודאתו בכתב אישום מתוקן המייחס לו עבירה של החזקת סם שלא לצריכה עצמית לפי סעיפים 7(א) ו 7(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג – 1973 (להלן: פקודת הסמים).",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"על פי עובדות כתב האישום, בחלק הכללי, הנאשם התגורר יחד עם נאשם אחר בתיק, אור ישראל אטיאס (להלן: אטיאס), בדירתם ברחוב עין נטפים באילת (להלן: הדירה).",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"כתב האישום מתאר כי בתאריך 27.3.2018 בסמוך לשעה 16:00 בדירה, עת בוצע חיפוש במקום, החזיקו הנאשם ואטיאס בסם מסוכן מסוג קנבוס, במשקל של 253.95 גרם.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,הנאשם ואטיאס החזיקו בסם המסוכן שלא לצריכתם העצמית.,השתלשלות העניינים העובדתית
SH-19-02-72806-706,"בדיון שהתקיים ביום 13.5.2021 הציגו הצדדים הסדר טיעון, במסגרתו הודו הנאשמים בעובדות כתב האישום המתוקן, והורשעו בעבירות כמפורט לעיל.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"במסגרת הסדר הטיעון, התביעה הגבילה את עצמה בטיעוניה לענישה מקסימלית של עד 4 חודשי  מאסר בעבודות שירות, והוסכם כי ההגנה תטען באופן חופשי.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"לבקשת ההגנה, הופנה הנאשם לקבלת תסקיר שירות המבחן אשר יבחן בין היתר את שאלת ביטול הרשעתו בדין. כן הופנה על ידי בית המשפט לקבלת חוות דעת הממונה על עבודות השירות.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"עוד באותה הישיבה, טענו הצדדים ביחס לשאלת הכרזתם של הנאשם כסוחרי סמים, על פי פקודת הסמים המסוכנים.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"התביעה ביקשה מבית המשפט להכריז על הנאשמים סוחרי סמים, ועתרה, בהתאם לכך, לחילוט הכסף המזומן שנתפס בידם.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"ההגנה, מצידה, טענה כי לאור תיקון כתב האישום והנתונים הפרושים בפני בית המשפט, אין להכריז על הנאשמים סוחרי סמים, וביקשה להימנע מחילוט הכסף.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"בהחלטתי מצאתי לקבל את טיעוני ההגנה, וקבעתי כי לא הוכח שהנאשמים הפיקו רווח כתוצאה מן העבירה בה הורשעו, או כי היו אמורים להפיק רווח שכזה; משכך, לא מצאתי לנכון להכריז על הנאשמים סוחרי סמים.  עם זאת, לא מנעתי מהמאשימה לעתור, בהמשך, במסגרת הטיעונים לעונש, לחילוט הכסף המזומן שנתפס בידי הנאשמים.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"ביום 10.11.2021 הוגש לבית המשפט תסקיר שירות המבחן בעניינו של הנאשם. התסקיר פרט את תולדותיו של הנאשם, ציין כי הנאשם כבן 26, רווק, המתגורר כעת עם הוריו, והוא סטודנט בשנה השנייה ללימודי הנדסת תעשיה וניהול. עוד צוין בתסקיר, כי הנאשם עובד במקביל ללימודיו.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"התסקיר סקר את הרקע המשפחתי של הנאשם, לימודיו ושירותו הצבאי.  בנוסף צוין כי לנאשם אין הרשעות קודמות בעברו.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"שירות המבחן פרט אודות השימוש של הנאשם בסמים, החל משחרורו מהצבא ועד למעצרו בגין תיק זה. לדברי הנאשם, כעולה מהתסקיר, מלבד שימוש בסם מסוכן מסוג קנאביס, הוא לא צרך סמים אחרים, וכיום אינו צורך סמים כלל. בבדיקות השתן שמסר אצל השירות, לא נמצאו שרידי סם.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"קצינת המבחן כתבה כי הנאשם נטל אחריות על מעשיו, אם כי הוסיף כי הסמים שנתפסו יועדו לשימושם העצמי שלו, ושל אטיאס. קצינת המבחן התרשמה כי הנאשם חווה טלטלה והרתעה על רקע מעצרו, והתנהלות ההליך המשפטי נגדו. אשר להתייחסותו לביצוע העבירה, ציינה קצינת המבחן כי הנאשם פעל בעבר מתוך עמדות מקלות לשימוש בסם מסוכן מסוג קנאביס, והתקשה בהצבת גבולות, תוך טשטוש וצמצום חומרת מעשיו.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"שירות המבחן ציין כי על רקע נסיבותיו של הנאשם קיים סיכון נמוך להישנות התנהגות עוברת חוק. בנסיבות אלה המליץ שירות המבחן על הטלת ענישה בדמות של""צ בהיקף משמעותי של 250 שעות.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"אשר לביטול ההרשעה, שירות המבחן כתב בתסקירו כי הנאשם ביטא חשש שהרשעתו עלולה לפגוע בעתיד בעבודתו, שכן לאור לימודיו האקדמיים ייתכן שישתלב בעתיד בתעסוקה כמהנדס במתקנים ביטחוניים. עוד הביע הנאשם חשש מגדיעת המשך פעילותו בשירות מילואים, שכן בעקבות הגשת כתב האישום, הוא לא זומן לשירות המילואים.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"שירות המבחן אף ציין כי הנאשם הביע חשש שהרשעתו בדין תפגע בדימויו העצמי, בהיותו אדם שומר חוק ומנהל אורח חיים נורמטיבי. בנתונים שפורטו, ועל אף שלא הוצגו בפני קצינת המבחן מסמכים המעידים על פגיעה ממשית בנאשם אם לא תבוטל הרשעתו, המליצה קצינת המבחן להימנע מהרשעתו בדין.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,לקראת הדיון בטיעונים לעונש הוגשה חוות דעת הממונה על עבודות השירות ממנה עולה כי הנאשם נמצא מתאים לריצוי מאסר בדרך של עבודות שירות.,השתלשלות העניינים העובדתית
SH-19-02-72806-706,בדיון שהתקיים ביום 16.11.2021 טענו הצדדים לעונש.,השתלשלות העניינים העובדתית
SH-19-02-72806-706,"התביעה ביקשה מבית המשפט לקבוע מתחם ענישה הנע בין 4 חודשי מאסר ועד 12 חודשי מאסר בפועל, ולמקם את עונשו של הנאשם ברף התחתון של מתחם העונש ההולם. עמדת המאשימה במקרה זה היתה להשתת 4 חודשי מאסר בדרך של עבודות שירות, הטלת מאסר מותנה בעבירות סמים מסוג פשע ועוון, קנס משמעותי ומרתיע, וחילוט סך של 21,940 ₪ שנתפסו אצל הנאשם.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"התביעה עמדה על הערכים המוגנים שנפגעו כתוצאה מביצוע העבירות מושא כתב האישום, שהם השמירה על שלומו של הציבור במובנו הרחב וכן הגנה על בריאותו של הציבור. המאשימה טענה כי ""... די בכך שנאמר כי סמים מהווים את אחד המחוללים העיקריים לפשיעה במחוזותינו"".",השתלשלות העניינים העובדתית
SH-19-02-72806-706,במקרה דנא טענה המאשימה כי הפגיעה בערכים המוגנים הינה ברף הבינוני נמוך.,השתלשלות העניינים העובדתית
SH-19-02-72806-706,"אשר להמלצות תסקיר שירות המבחן, טענה המאשימה כי אין להיעתר להן שכן הנאשם לא עבר טיפול ייעודי לעבירות בהן הורשע, ועל כן אין מקום לסטייה ממתחם הענישה לו עתרה. עוד ציינה כי שירות המבחן הוא בגדר גורם ממליץ בלבד, המצביע לבית המשפט על שיקול אחד מתוך שיקולי הענישה. באשר להמלצה להורות על ביטול הרשעתו של הנאשם ציינה המאשימה כי ההמלצה נתנה בהעדר אינדיקציה לפגיעה קונקרטית בנאשם ורק משום חששו של הנאשם עצמו לפגיעה תדמיתית ותעסוקתית.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"ב""כ המאשימה הפנתה לפסיקה התומכת לשיטתה בטיעוניה.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"אשר לעתירה לחילוט הכסף שנתפס ברשות הנאשם, טענה המאשימה, תוך הצגת הודעתו של הנאשם במשטרה, כי בהתאם לסעיף 36א לפקודת הסמים המסוכנים, נטל החזקה על הנאשם להוכיח כי הכסף שנתפס בידו איננו תוצר של עבירות הסמים, אלא הושג ממקור חוקי. לשיטת המאשימה הנאשם לא עשה כן, ועל כן יש להורות על חילוט הכסף כמבוקש.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"הסניגור טען, מצידו, כי ""ידוע כי כאשר מוצג בפני בית המשפט הסדר שבו יש טווח ענישה, הרי שאין משמעות למתחמים ..."" לשיטתו, מאחר שהמאשימה הסכימה כי הנאשם יופנה לתסקיר אשר יבחן, בין היתר, את ביטול הרשעתו – הרי שעתירתו זו מהווה למעשה את תחתית מתחם הענישה הראוי במקרה זה.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"לחילופין עתר הסניגור, כי יש לחרוג לקולא מכל מתחם אחר שיקבע, וזאת משיקולי שיקום, בשים לב להמלצות התסקיר, ולהשית על הנאשם של""צ בהיקף שהוצע תוך ביטול הרשעתו בדין. ב""כ הנאשם ציין כי: ""אני לא מקבל את הטענה שהנאשם לא עבר שיקום. קצינת המבחן קובעת בצורה מפורשת שאין צורך בשיקום ולכן לא הוצע.""",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"הסניגור הפנה את בית המשפט אל התרשמותו של שירות המבחן מן הנאשם, וביקש לאמץ את המלצתו. הסניגור הוסיף כי הנאשם ניהל אורח חיים נורמטיבי ותורם ולמעשה זו ההזדמנות הראשונה שהוא הסתבך, ואף חווה את האירוע כטראומטי עבורו. מאז אף חלף זמן, והנאשם הוכיח כי אכן זו לא דרכו.  ההגנה הדגישה כי ""הטשטוש"" של חומרת הדברים כמצוין בתסקיר, נגע למועד ביצוע העבירה, ולא לגישתו של הנאשם כיום ביחס לעבירות.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"בנוגע  לשאלת ביטול ההרשעה ציין הסניגור כי הוכחת פגיעה קונקרטית של מי שאך החל בלימודים אקדמיים היא בבחינת הבלתי אפשרי. ב""כ הנאשם ציין כי סביר להניח שהנאשם, לאחר סיום לימודיו, יידרש להציג תעודת יושר כתנאי לעבודה, והרשעתו בדין תפגע בסיכוייו לממש את הכשרתו.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"ההגנה הציגה מסמכים הנוגעים לשירותו הצבאי של הנאשם, אישור על לימודים באוניברסיטה הפתוחה, וכן אישור על קבלה ללימודי תואר ראשון במחלקה להנדסת תעשייה וניהול, במרכז האקדמי רופין.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"לעניין העתירה לחילוט הכספים, ציין ב""כ הנאשם כי נוכח התיקון בכתב האישום אין מקום להורות על חילוט הכספים שנתפסו, בהתחשב בין השאר בעובדה כי הסם הוחזק בידי שני נאשמים, כך שהכמות אינה מצדיקה נקיטה בהליך זה. כמו כן נטען כי לא הוצגו ראית על כך שהכסף שנתפס נבע כתוצאה מהעבירה בה הורשע הנאשם. לבסוף ביקש ב""כ הנאשם לצרף תלושי משכורת מהם ניתן ללמוד לטענתו, כי הנאשם עבד משך תקופה ארוכה כמלצר, והכסף שנתפס בידו הוא כסף אשר חסך מעבודתו.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,הנאשם בדברו ביחס לעונש אמר:,השתלשלות העניינים העובדתית
SH-19-02-72806-706,"""כמובן שאני מצטער על מה שהיה, אני מגיע לפה כמעט 4 שנים, אני מתבייש שאני נמצא במצב הזה בנוכחות אבא שלי, זה קרה לפני כמעט 4 שנים הייתי אחרי שירות צבאי, לפני כן הייתי בישיבה דתית עברתי לאילת, כנראה באמת הרגשתי חופשי, פעם ראשונה שהייתי בלי מסגרות ובלי הורים ליידי, ובאמת קצת הלכתי לאיבוד, הרגשתי חופשי מידי והושפעתי מהסביבה וקרה מה שקרה. זה לא היה קל פעם ראשונה שהגעתי למצב כזה, המעצר היה טראומה רצינית וימים ממש לא קלים, זה היה כמו אגרוף כזה. התאכזבתי מעצמי, אכזבתי את ההורים, אני מתבייש בזה וזה לא סיפור שאני גאה בו. אחרי המקרה חזרתי להורים, התרחקתי מכל העניין של הקנאביס, זה לא מעניין אותי, הלכתי לעבוד בעבודה מסודרת, התחלתי ללמוד.",השתלשלות העניינים העובדתית
SH-19-02-72806-706,"לגבי העתיד, אני בן אדם ששואף גבוה, אני לומד הנדסה ושואף הכי גבוה שאפשר, אני גם אוהב לעזור לאחרים ואני כן מאמין שבעתיד ארצה לעבוד למען הציבור, יש לי גם חלום להיות חבר כנסת ולהיכנס לפוליטיקה. מאז המקרה לצערי לא גייסו אותי למילואים וזה משהו שאני כן מתגעגע אליו ולחברים ואף התקשרתי לברר למה לא מזמנים אותי אמרו לי שאני כן ברשימה. כמובן שאנו פה היום ואמרנו שאנו רוצים לעשות הכל כדי למחוק את המקרה הזה ולא יהיה לי את הכתם הזה בחיים. מה שצריך לעשות בשביל למחוק, בדיקת, קצינות מבחן, שירות לציבור, והלוואי שהיה אפשר למחוק את המקרה זה. אבקש לבוא לקראתי כמה שיותר הרבה, זה לא מאפיין אותי או את משפחתי, גדלתי במקום טוב עם ערכים טובים"".",השתלשלות העניינים העובדתית
SH-19-02-72806-706,גם הסניגור הגיש פסיקה על מנת לתמוך בעתירתו העונשית.,השתלשלות העניינים העובדתית
SH-19-02-72806-706,"חרף העובדה כי הצדדים הגיעו להסדר דיוני הכולל טווח ענישה, אין בית המשפט פטור מקביעת מתחם הענישה ההולם.  בעניין זה נקבע בע""פ 6197/20 מדינת ישראל נ' גולאני (15.11.2021) כך:",מתחם העונש ההולם
SH-19-02-72806-706,"""בית משפט זה נדרש זה מכבר לפרשנות ""מערכת היחסים"" בין הוראות התיקון לבין קיומו של הסדר טיעון, וקבע כי קיומו של האחרון אינו מבטל את תחולת ההוראות שנקבעו במסגרת התיקון. היינו: אף אם יש הסכמה בין הצדדים לטווח ענישה, שהוא תוצאה של כוח מיקוח הצדדים, על בית המשפט לבחון את מתחם הענישה, המהווה קביעה נורמטיבית בדבר האיזון הראוי שנקבע על ידי המחוקק"" (ראו ע""פ 512/13 פלוני נ' מדינת ישראל [פורסם בנבו] (4.12.2013); ע""פ 3856/13 ‏גוני נ' מדינת ישראל [פורסם בנבו] (3.2.2014)).",מתחם העונש ההולם
SH-19-02-72806-706,"כפי שציינתי בעבר, לא רק שבית המשפט אינו כבול להסכמות הצדדים בעת קביעת מתחם הענישה, אלא ראוי כי יקבע מתחם זה בנפרד מהסכמות אלו, וזאת כדי לאפשר את בחינת הסדר הטיעון לאור העונש ההולם בנסיבות העניין (ע""פ 1548/18 גיא נ' מדינת ישראל [פורסם בנבו] (28.11.2021)).""",מתחם העונש ההולם
SH-19-02-72806-706,"הערכים המוגנים שנפגעו כתוצאה ממעשיו של הנאשם הם שמירה על הציבור מפני נגע הסמים, והבטחת שלומו ובריאותו (ראו לעניין זה את למשל את קביעת בית המשפט העליון במסגרת ע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) בפסקה 8), וכן את ע""פ 972/11 מדינת ישראל נ' יונה (4.7.2012)).",מתחם העונש ההולם
SH-19-02-72806-706,"הנאשם החזיק בביתו יחד עם אחר כ- 254 גרם של סם מסוכן מסוג קנבוס. נוכח כמות הסם המסוכן שנתפסה אצל הנאשם וחברו אטיאס, סוג הסם, אני סבור כי מידת הפגיעה בערכים המוגנים במקרה דנא איננה ברף גבוה.",מתחם העונש ההולם
SH-19-02-72806-706,"אשר למדיניות הפסיקה הנהוגה, מצאתי לנכון להתייחס לחלק מהפסיקה אשר הוגשה מטעם הצדדים בהיותה רלוונטית למקרה זה:",מתחם העונש ההולם
