verdict_1,verdict_2,GT,model_score,raw
ME-16-07-11608-225,ME-22-12-47987-640,1,58.0,"# ניתוח השוואתי מהותי

## 1. סוג העבירה וחומרתה
- **תיק 1**: סיוע לייבוא MDMA (טבליות ואבקה)
- **תיק 2**: ייבוא Ketamine
- **שניהם**: עבירות ייבוא סמים מסוכנים לפי סעיף 13 לפקודת הסמים
- **הבדל**: תיק 1 - סיוע; תיק 2 - ביצוע ישיר

## 2. סוג הסם וכמותו
- **תיק 1**: MDMA - 1,301 גרם אבקה + 13,189 טבליות (כמות משמעותית מאוד)
- **תיק 2**: Ketamine - 700 גרם
- **הבדל**: סוגי סמים שונים, כמויות בסדרי גודל שונים (תיק 1 גדול פי כמה)

## 3. שיטת הביצוע (MO)
- **תיק 1**: הברחה במזוודה בטיסה בינלאומית, הסתרה בדופן כפולה
- **תיק 2**: משלוח בינלאומי מהודו, הסתרה בכדים עם דופן כפולה
- **דמיון**: שימוש בדופן כפולה להסתרה, ייבוא בינלאומי
- **הבדל**: אמצעי ההברחה (נוסע מול משלוח)

## 4. נסיבות הליבה
- **תיק 1**: פעילות ממושכת (שנה), רשת מאורגנת, תמורה כספית, תכנון מוקדם, הצפנה
- **תיק 2**: מקרה בודד, פעילות עצמאית עם בן דוד, תמורה בסם, תכנון מוקדם, ניצול קרובים
- **הבדל מהותי**: היקף הפעילות והארגון

## 5. ישימות כתקדים
- שניהם עבירות ייבוא סמים מסוכנים
- שניהם כוללים תכנון והסתרה מתוחכמת
- **אך**: הבד"
ME-16-11-63255-338,ME-18-01-73652-357,1,72.0,SIMILARITY_SCORE: 72
ME-16-12-26620-433,ME-16-06-6788-21,3,68.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שני התיקים**: ייבוא סם מסוכן בצוותא (סעיף 13 + 19א לפקודת הסמים)
- **חומרה דומה**: שניהם עבירות חמורות של ייבוא בכמויות מסחריות
- **דמיון גבוה**: ✓

## 2. סוג הסם וכמותו
- **תיק 1**: קוקאין (888 גרם) + MDMA (1,820 גרם) = **2.7 ק""ג סה""כ**
- **תיק 2**: קוקאין בלבד (2,565 גרם) = **2.6 ק""ג**
- **כמויות זהות כמעט בסדר גודל**, שניהם כמויות מסחריות משמעותיות
- **דמיון גבוה מאוד**: ✓✓

## 3. שיטת הביצוע (MO)
- **תיק 1**: הברחה פיזית במזוודה דרך שדה תעופה, הסתרה מתוחכמת בדופן
- **תיק 2**: משלוח בדואר בינלאומי, הסתרה בשרוולי מעילים
- **שוני מהותי**: אופן ההברחה שונה לחלוטין (נסיעה אישית vs. דואר)
- **דמיון נמוך**: ✗

## 4. נסיבות הליבה
- **שניהם**: תכנון מוקדם, קשר פלילי, חלוקת תפקידים, הנחיה על ידי גורם חיצוני
- **שניהם**: מניע כלכלי (תיק 1 מפורש, תיק 2 משתמע)
- **שניהם**: הנאשמים לא יזמו אלא פעלו לפי הנחיות
- **הבדל**: תיק 1 - שני נאשמים נסעו יחד; תיק 2 - נאשמת יחידה קיבלה חבילה
- **דמיון בינוני-גבוה**: ✓

## 5. ישימות כתקדים
- **רלו"
ME-17-01-59971-328,ME-14-01-16958-980,3,91.0,"# ניתוח השוואתי מהותי

## 1. סוג העבירה וחומרתה
- **שני התיקים**: עבירה זהה - גידול/ייצור קנביס במעבדה מסחרית (סעיף 6 לפקודת הסמים)
- **חומרה דומה**: שניהם כוללים כמויות מסחריות גדולות
- **ציון ממד**: 95/100

## 2. סוג הסם וכמותו
- **סוג**: זהה - קנביס/קנבוס
- **כמות**: תיק 1: 170 ק""ג + מאות עציצים + 231 נבטים | תיק 2: 60 ק""ג + שתילים רבים
- **סדר גודל**: דומה (שניהם כמויות מסחריות משמעותיות, תיק 1 גדול יותר פי ~3)
- **ציון ממד**: 85/100

## 3. שיטת הביצוע (MO)
- **שניהם**: מעבדת גידול מקצועית במבנה תעשייתי/מסחרי
- **ציוד זהה**: מערכות תאורה, אוורור, מזגנים, משקלים דיגיטליים, עציצים
- **דפוס**: תכנון מוקדם, שכירת מקום ייעודי, תשתית מקצועית
- **ציון ממד**: 95/100

## 4. נסיבות הליבה
- **שניהם**: פעילות יחידנית מרכזית, תכנון גבוה, מעבדה מאובזרת
- **שניהם**: אין נסיבות מקלות מיוחדות (מצוקה, התעללות)
- **שניהם**: אין רישיון, אין ניצול כוח
- **ציון ממד**: 90/100

## 5. ישימות כתקדים
- **רלוונטיות גבוהה מאוד**: שני תיקים של מעבדות קנביס מסחריות מקצועיות
- **שימושיות**: תיק 1 יכול לשמש תקדים "
ME-17-01-620-279,ME-16-12-19902-389,3,92.0,"בוחנת את שני התיקים לפי הממדים המשפטיים המהותיים:

**1. סוג העבירה וחומרתה:**
- שניהם: יבוא סם מסוכן ללא היתר (סעיף 13 לפקודת הסמים)
- שניהם: עבירות חמורות ברמה מסחרית
- זהות מלאה ✓

**2. סוג הסם וכמותו:**
- שניהם: קוקאין
- תיק 1: 4,922 גרם (~4.9 ק""ג)
- תיק 2: 6,175 גרם (~6.2 ק""ג)
- כמויות באותו סדר גודל (מסחרי משמעותי) ✓

**3. שיטת הביצוע (MO):**
- שניהם: יבוא דרך טיסה בינלאומית
- שניהם: הסלקה במזוודה (תיק 2: תחתית כפולה מעץ)
- שניהם: מעבר דרך נמל תעופה בן גוריון
- דמיון מהותי מאוד ✓

**4. נסיבות הליבה:**
- שניהם: תכנון מוקדם (טיסה מיוחדת לחו""ל)
- שניהם: קבלת מזוודה מוסלקת מאחרים
- שניהם: תפקיד מרכזי כשליח/קוריר
- שניהם: לא צוין ניצול/מצוקה
- דמיון רב ✓

**5. ישימות כתקדים:**
- עבירות זהות, אופן ביצוע זהה, כמויות דומות
- שניהם תיקי קוקאין-קוריר בטיסות בינלאומיות
- רלוונטיות גבוהה מאוד לעניין טווחי עונשין ✓

**הבדלים משניים:**
- מדינת מוצא שונה (צרפת מול גרמניה) - לא מהותי
- תאריכים קרובים (דצמבר 2016 מול נובמבר 2016)

**מסקנה:** תיקים כמעט זהים במהותם - אותה עבירה, אותו סם, כמויות דומ"
ME-17-03-30876-747,SH-23-02-41988-839,1,25.0,SIMILARITY_SCORE: 25
ME-17-03-30876-747,ME-17-01-59971-328,3,91.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שני התיקים**: ייצור/גידול סם מסוכן (קנאביס) בהיקף מסחרי
- **חומרה דומה**: שניהם עבירות חמורות של הפקת סמים בכמויות גדולות
- **ציון ממד**: 95/100

## 2. סוג הסם וכמותו
- **סוג**: שניהם קנאביס (קנבוס)
- **כמות**: תיק 1: 140 ק""ג, תיק 2: 170 ק""ג - **סדר גודל זהה**
- **שתילים**: תיק 1: 1,246 שתילים, תיק 2: מאות עציצים + 231 נבטים
- **ציון ממד**: 95/100

## 3. שיטת הביצוע (MO)
- **שניהם**: הקמת מעבדת גידול ייעודית במתחם שכור
- **ציוד זהה**: מנורות, מזגנים, מאווררים, ציוד השקיה, שנאים
- **תכנון**: שניהם כוללים תכנון מוקדם והשקעה בתשתיות
- **גניבת חשמל**: תיק 1 כולל במפורש, תיק 2 לא מוזכר
- **ציון ממד**: 90/100

## 4. נסיבות הליבה
- **שניהם**: מעבדה מקצועית, פעילות מסחרית, תקופה דומה (כ-3-5 חודשים)
- **הבדל**: תיק 1 - פעילות בצוותא; תיק 2 - פעילות יחיד
- **שניהם**: שכירות מקום ייעודי לעבירה
- **ציון ממד**: 85/100

## 5. ישימות כתקדים
- **רלוונטיות גבוהה מאוד**: שני תיקים כמעט זהים בליבתם
- דפוס עבירה זהה, כמויות דומות, אותו סם, אותה "
ME-17-04-17677-800,ME-14-01-16958-980,3,91.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שני התיקים**: גידול/ייצור/הפקה של קנביס בהיקף מסחרי
- **חומרה דומה**: כמויות גדולות למטרות מסחריות
- **ציון**: 95/100

## 2. סוג הסם וכמותו
- **שניהם**: קנביס (קנבוס)
- **כמויות**: תיק 1 - 235 צמחים; תיק 2 - 60 ק""ג + שתילים רבים
- **סדר גודל דומה**: שניהם בהיקף מסחרי משמעותי
- **ציון**: 90/100

## 3. שיטת הביצוע (MO)
- **שניהם**: הקמת מעבדת גידול מאובזרת
- **ציוד זהה כמעט**: מערכות תאורה, חימום, טמפרטורה, לחות, משקלים, דישון
- **שניהם**: תכנון מוקדם גבוה, שכירת/שימוש במבנה ייעודי
- **ציון**: 95/100

## 4. נסיבות הליבה
- **שניהם**: מעבדה מאובזרת, תכנון מתוחכם, תקופה ממושכת
- **שניהם**: פעילות יחידנית (לא כנופיה)
- **הבדל קל**: תיק 1 - בית מגורים + גניבת חשמל; תיק 2 - אזור תעשייה
- **ציון**: 85/100

## 5. ישימות כתקדים
- **רלוונטיות גבוהה מאוד**: שני תיקים של גידול קנביס מסחרי במעבדה מאובזרת
- **סעיפי חוק זהים**: פקודת הסמים המסוכנים - סעיפים 6, 7, 10
- **בית משפט יראה זאת כתקדים ישיר**
- **ציון**: 90/100

---

**SIMILARITY_SCO"
ME-18-02-5680-55,ME-22-04-7867-732,1,25.0,SIMILARITY_SCORE: 25
ME-18-02-5680-55,ME-15-11-31122-886,2,72.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **זהה**: שני התיקים עוסקים בהחזקת MDMA שלא לצריכה עצמית
- **סעיף חוק זהה**: סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים
- **דמיון גבוה**: שניהם החזקה למטרות מסחר/הפצה

## 2. סוג הסם וכמותו
- **סוג זהה**: MDMA בשני המקרים
- **כמות**: תיק 1 - 8,363 כדורים; תיק 2 - 199.33 גרם (כ-1,993 כדורים בהנחת 100 מ""ג לכדור)
- **סדר גודל דומה**: שניהם כמויות מסחריות משמעותיות (פער של פי 4-5)

## 3. שיטת הביצוע (MO)
- **שוני מהותי**: 
  - תיק 1: תכנון מוקדם, שימוש בשמות בדויים, הסתרה מתוחכמת, העברה בין ערים
  - תיק 2: החזקה סטטית בבית, ללא תכנון מוקדם מתועד
- **דמיון חלקי**: שניהם ניסו להעלים ראיות

## 4. נסיבות הליבה
- **דמיון**: שניהם החזיקו עבור אחרים, לא לצריכה עצמית
- **שוני**: תיק 1 כולל תפקיד פעיל בהעברה במסגרת עיסוק; תיק 2 החזקה פסיבית בבית
- **נסיבות מחמירות**: תיק 1 מורכב יותר (צוותא, תכנון, ניצול עיסוק)

## 5. ישימות כתקדים
- **רלוונטיות גבוהה**: אותו סוג סם, אותו סעיף, כמויות מסחריות דומות
- **הבדל משמעותי**: רמת המעורבות והתחכום שונה
"
