verdict,text,part
ME-14-04-1079-22,"כב' השופט אברהם יעקב, סג""נ
כב' השופטת זהבה בוסתן, 
כ' השופט ד""ר שמואל בורנשטין",לפני:
ME-14-04-1079-22,"המערער וב""כ – עו""ד דורון שטרן",נוכחים:
ME-14-04-1079-22,"ב""כ המשיבה – עו""ד גל רוזנצוויג",נוכחים:
ME-14-04-1079-22,לא ביקשנו את תגובת המשיבה.,פסק דין
ME-14-04-1079-22,המערער הורשע לאחר שמיעת ראיות בביצוע עבירות של תקיפה סתם ואיומים.,פסק דין
ME-14-04-1079-22,"המערער, כאשר היה שיכור, תקף ברחוב אישה שהוא איננו מכיר, ללא כל סיבה נראית לעין, ולאחר מכן איים על השוטר.",פסק דין
ME-14-04-1079-22,"בבימ""ש קמא נגזרו על הנאשם 5 חודשי מאסר בפועל והופעלו 6 חודשי מאסר מותנה, כך ש- 4 מתוכם במצטבר וחודשיים בחופף.",פסק דין
ME-14-04-1079-22,"בסופו של דבר המערער נידון ל- 9 חודשי מאסר בפועל, ל- 6 חודשי מאסר מותנה למשך 3 שנים, קנס בסך 1,000 ₪ ופיצוי למתלוננים בסך של 3,000 ₪.",פסק דין
ME-14-04-1079-22,"עיקר טענותיו של המערער הן כלפי החלטת ביהמ""ש שלא לבקש תסקיר בעניינו.",פסק דין
ME-14-04-1079-22,"ראשית נקדים ונאמר שענישה שנגזרה על המערער היא ענישה סבירה ואף ב""כ המערער אינו חולק על כך.",פסק דין
ME-14-04-1079-22,"המערער הוא בעל עבר פלילי מכביד לאורך שנים רבות ואף ריצה מאסרים כאשר העבירות  בהן הורשע היו עבירות אלימות, איומים, הפרת הוראה חוקית,  ועוד כהנה וכהנה עבירות לאורך תקופה של קרוב לעשור.",פסק דין
ME-14-04-1079-22,תסקיר שירות המבחן מטרתו לבחון את ההיבטים המיוחדים לכל נרשם ונרשם ולבדוק אם יש מקום לנקוט בהליכי שיקום כאלה ואחרים.,פסק דין
ME-14-04-1079-22,"במקרה הנדון כאן, מדובר במי שלאורך שנים מבצע עבירות אלימות ואינו לומד את לקחו.",פסק דין
ME-14-04-1079-22,"נטען, כי המערער שינה את דרכיו, נישא והוא עובד בעבודה מסודרת ועל רקע זה ראוי לבחון אפשרות לשיקומו. אולם מעיון בגיליון ההרשעות הקודמות של המערער אנו למדים כי בשנת 2013 נפתח נגדו תיק חקירה בגין ביצוע עבירת איומים ובדצמבר 2013, לפני כחצי שנה, נפתח נגדו תיק חקירה נוסף שעניינו תקיפה הגורמת חבלה של ממש לבן זוג.",פסק דין
ME-14-04-1079-22,"נראה, כי המערער לא הפנים את שהיה צריך להפנים ולכן אנו סבורים ששיקולי השיקום בעניינו נסוגים מפני שיקולי ההרתעה.",פסק דין
ME-14-04-1079-22,"מאחר והעונש שנגזר על המערער הוא עונש סביר, ומאחר ואין כל טעם בקבלת תסקיר שירות המבחן, שכן לא יהיה בו כדי להפחית מן העונש – אנו דוחים את הערעור.",פסק דין
ME-14-04-1079-22,"המערער יתייצב לנשיאה בעונשו ביום 1.7.14 בשעה 09:00 בבית המעצר הדרים, כשהוא מצויד בפסק דין זה ובתעודת זהות.",פסק דין
ME-14-04-1079-22,התנאים אשר נקבעו לעיכוב הביצוע ימשיכו לחול עד המועד האמור.,פסק דין
ME-14-04-1079-22,5129371<#4#>,פסק דין
ME-14-04-1079-22,"אברהם  יעקב, שופט, סגן נשיא","54678313ניתן והודע היום י""ט סיוון תשע""ד, 17/06/2014 במעמד הנוכחים."
ME-14-04-1079-22,"זהבה בוסתן, שופטת","54678313ניתן והודע היום י""ט סיוון תשע""ד, 17/06/2014 במעמד הנוכחים."
ME-14-04-1079-22,"שמואל בורנשטין, שופט","54678313ניתן והודע היום י""ט סיוון תשע""ד, 17/06/2014 במעמד הנוכחים."
ME-14-04-1079-22,הוקלד על ידי אורית שטורם,"54678313ניתן והודע היום י""ט סיוון תשע""ד, 17/06/2014 במעמד הנוכחים."
ME-14-04-1079-22,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,אברהם יעקב 54678313
ME-14-04-1079-22,"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",אברהם יעקב 54678313
