canonical_id,guess_domain,has_csv
ARMY-22-26-11,appeals,True
ME-03-174,unknown,False
ME-09-04-4986-722,drugs,True
ME-10-05-11982-11,unknown,False
ME-10-05-2985-3,unknown,False
ME-10-05-730-597,drugs,True
ME-10-07-47551-33,appeals,True
ME-10-08-41827-33,unknown,True
ME-10-12-29077-112,unknown,False
ME-11-01-45507-33,unknown,False
ME-11-03-32694-112,unknown,False
ME-11-04-26158-11,unknown,False
ME-11-04-27988-3,unknown,False
ME-11-05-34058-3,unknown,False
ME-11-05-34337-55,unknown,False
ME-11-05-48539-33,unknown,False
ME-11-05-52251-33,unknown,False
ME-11-06-49086-141,drugs,True
ME-11-07-51829-33,unknown,False
ME-11-08-47694-22,unknown,False
ME-11-11-48367-22,unknown,False
ME-12-01-27305-598,drugs,True
ME-12-04-14480-44,unknown,False
ME-12-05-60471-637,unknown,True
ME-12-05-60494-44,unknown,False
ME-12-06-35192-22,unknown,False
ME-12-07-42731-33,unknown,False
ME-12-09-40240-22,unknown,False
ME-12-09-4757-156,appeals,True
ME-12-11-15198-11,unknown,False
ME-12-11-185-33,unknown,False
ME-13-02-28435-968,drugs,True
ME-13-05-27782-555,unknown,False
ME-13-08-18402-55,unknown,False
ME-13-08-37359-291,appeals,True
ME-13-09-1307-11,unknown,False
ME-13-10-31724-526,unknown,True
ME-13-11-20785-323,appeals,True
ME-13-11-28219-262,appeals,True
ME-13-12-8338-415,weapon,True
ME-14-03-59106-735,appeals,True
ME-14-04-1079-22,appeals,True
ME-14-06-47767-908,appeals,True
ME-14-10-30098-583,unknown,True
ME-14-10-42358-416,drugs,True
ME-14-12-51920-990,appeals,True
ME-15-04-23775-504,appeals,True
ME-15-04-8650-548,drugs,True
ME-15-10-28110-519,appeals,True
ME-15-11-12819-637,drugs,True
ME-15-11-2045-692,appeals,True
ME-15-11-62780-577,drugs,True
ME-15-12-43046-59,drugs,True
ME-16-01-4007-205,appeals,True
ME-16-10-332-155,unknown,True
ME-16-11-41900-196,appeals,True
ME-16-12-59812-55,unknown,False
ME-17-02-49266-22,drugs,True
ME-17-04-20599-576,appeals,True
ME-17-04-34989-44,unknown,False
ME-17-04-47293-163,drugs,True
ME-17-07-20755-771,drugs,True
ME-17-07-29138-388,appeals,True
ME-17-09-24112-501,appeals,True
ME-17-10-33947-768,drugs,True
ME-17-10-55188-33,unknown,False
ME-18-07-1393-801,appeals,True
ME-19-06-47787-590,unknown,True
ME-19-10-39067-427,drugs,True
ME-20-01-24923-824,appeals,True
ME-20-02-5511-33,unknown,False
ME-20-06-14479-33,unknown,False
ME-21-03-32585-44,unknown,True
ME-21-04-2024-201,weapon,True
ME-21-08-36558-369,appeals,True
ME-21-08-59103-886,appeals,True
ME-21-09-33195-887,drugs,True
ME-23-02-9036-421,weapon,True
SH-09-10-3981-973,unknown,True
SH-10-01-13663-686,unknown,True
SH-10-02-31164-55,unknown,False
SH-10-02-38236-314,unknown,True
SH-10-08-53549-961,drugs,True
SH-10-10-43128-464,unknown,True
SH-10-12-10325-724,unknown,True
SH-10-12-50810-836,unknown,True
SH-11-01-24143-22,unknown,False
SH-11-02-1940-350,unknown,True
SH-11-02-23484-88,unknown,True
SH-11-05-2368-458,unknown,True
SH-11-06-47874-22,unknown,False
SH-12-01-33804-586,unknown,True
SH-12-01-61700-22,unknown,False
SH-12-02-33690-888,drugs,True
SH-12-05-26513-516,unknown,True
SH-12-09-33928-22,unknown,False
SH-12-10-26626-242,unknown,True
SH-13-02-48198-154,unknown,True
SH-13-03-11185-132,unknown,True
SH-13-05-401-11,unknown,False
SH-13-05-43406-445,unknown,False
SH-13-06-47643-22,unknown,False
SH-13-08-25179-536,unknown,True
SH-13-11-10078-869,drugs,True
SH-13-11-24038-11,unknown,False
SH-14-01-16980-713,unknown,True
SH-14-01-726-102,drugs,True
SH-14-02-15725-849,unknown,True
SH-15-02-56718-554,unknown,True
SH-15-04-8506-181,drugs,True
SH-15-07-3869-137,drugs,True
