verdict_1,verdict_2,GT,model_score,raw
ME-16-07-11608-225,ME-22-12-47987-640,1,45.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שניהם**: יבוא/סחר בסמים מסוכנים
- **חומרה**: תיק 1 - MDMA בכמות עצומה (1.3 ק""ג + 13,189 טבליות); תיק 2 - קטמין 700 גרם
- **הבדל**: סדר גודל שונה משמעותית בכמות

## 2. סוג הסם וכמותו
- **MDMA vs קטמין**: שני סמים מסוכנים אך שונים בטבעם
- **כמות**: תיק 1 פי 2-3 יותר במשקל נטו, פלוס אלפי טבליות
- **דמיון חלקי**: שניהם בקטגוריית סמים מסוכנים

## 3. שיטת הביצוע (MO)
- **דמיון מובהק**: שניהם השתמשו ב**דופן כפולה** להברחה
- תיק 1: מזוודה עם דופן כפולה
- תיק 2: כדים בעלי דופן כפולה
- **שניהם**: יבוא בינלאומי (ברלין/איסטנבול vs הודו)

## 4. נסיבות הליבה
- **תיק 1**: קוריאר (לא בעל הסמים), תשלום סמלי, נתפס בשדה תעופה
- **תיק 2**: בעל הסמים, שיתוף פעולה משפחתי, נתפס לאחר מעקב משטרתי
- **הבדל מהותי**: תפקיד הנאשם שונה לחלוטין

## 5. ישימות כתקדים
- **בעד**: אותה עבירה בסיסית, שיטת הברחה דומה (דופן כפולה)
- **נגד**: תפקידים שונים, כמויות שונות משמעותיה, סמים שונים

---

**SIMILARITY_SCORE: 45**"
ME-16-11-63255-338,ME-18-01-73652-357,1,42.0,SIMILARITY_SCORE: 42
ME-16-12-26620-433,ME-16-06-6788-21,3,68.0,"# ניתוח השוואתי מהותי

## 1. סוג העבירה וחומרתה
- **שניהם**: יבוא/סחר בסמים מסוכנים (סעיף 19)
- **חומרה דומה**: כמויות גדולות המיועדות לסחר
- **דמיון גבוה**

## 2. סוג הסם וכמותו
- **תיק 1**: MDMA (1820g) + קוקאין (888g) = ~2.7 ק""ג סה""כ
- **תיק 2**: קוקאין בלבד (2565g) = ~2.6 ק""ג
- **כמויות זהות כמעט בסדר גודל**, שני התיקים כוללים קוקאין בכמויות משמעותיות
- **דמיון גבוה**

## 3. שיטת הביצוע (MO)
- **תיק 1**: יבוא אישי במזוודה עם דופן מוסתרת, טיסה לחו""ל
- **תיק 2**: יבוא בדואר מהולנד, קבלה בסניף דואר
- **שיטות שונות מהותית** - קוריר אישי מול משלוח דואר
- **דמיון נמוך**

## 4. נסיבות הליבה
- **תיק 1**: תכנון מתוחכם (דופן מוסתרת), נסיעה לחו""ל, תמורה כספית משמעותית
- **תיק 2**: שימוש בדואר, מעורבות של ""שי"" (מארגן?), ניסיונות חוזרים לקבלת חבילה
- **שניהם**: נאשמים שאינם בעלי הסמים (שליחים/קוריירים), עצירה על ידי רשויות
- **דמיון בינוני-גבוה** בתפקיד הנאשמים

## 5. ישימות כתקדים
- **רלוונטיות**: שני תיקי יבוא קוקאין בכמויות מסחריות זהות כמעט
- **הבדל מהותי**: שיטת היבוא שונה (אישי מול דואר)
- **רלוונטי לעניין**: קביעת עונש, הערכת תפקיד הקוריר, כמות הסם
- **פחות רלוונטי לעניין**: דפוסי פעולה, אמצעי ביצוע

## מסקנה
תיקים אלו דומים מהותית בעבירה, בכמות הסם, ובתפקיד הנאשמים כשליחים. ההבדל העיקרי הוא בשיטת היבוא. בהקשר של קביעת עונש והערכת חומרה - **רלוונטיים כתקדים**.

SIMILARITY_SCORE: 68"
ME-17-01-59971-328,ME-14-01-16958-980,3,85.0,SIMILARITY_SCORE: 85
ME-17-01-620-279,ME-16-12-19902-389,3,88.0,SIMILARITY_SCORE: 88
ME-17-03-30876-747,SH-23-02-41988-839,1,25.0,SIMILARITY_SCORE: 25
ME-17-03-30876-747,ME-17-01-59971-328,3,88.0,SIMILARITY_SCORE: 88
ME-17-04-17677-800,ME-14-01-16958-980,3,78.0,SIMILARITY_SCORE: 78
ME-18-02-5680-55,ME-22-04-7867-732,1,15.0,SIMILARITY_SCORE: 15
ME-18-02-5680-55,ME-15-11-31122-886,2,42.0,"# ניתוח דמיון מהותי בין התיקים

## 1. סוג העבירה וחומרתה
- **שניהם**: החזקת MDMA שלא לצריכה עצמית
- **זהות מלאה** בסוג העבירה והסיווג המשפטי

## 2. סוג הסם וכמותו
- **סוג**: זהה (MDMA)
- **כמות**: 
  - תיק 1: 8,363 טבליות (כמות עצומה)
  - תיק 2: 199.33 גרם (כמות בינונית-גדולה)
- **פער משמעותי** בסדר גודל - תיק 1 כולל כמות גדולה פי עשרות

## 3. שיטת הביצוע (MO)
- **תיק 1**: הברחה מאורגנת, שימוש בנהג מונית, הסוואה מתוחכמת במתקן חשמלי, ייפוי כוח מזויף
- **תיק 2**: החזקה פשוטה בבית, השלכת קופסה בעת מעצר
- **שוני מהותי** - תיק 1 מעיד על מעורבות בארגון פשיעה, תיק 2 החזקה פרטנית

## 4. נסיבות הליבה
- **תיק 1**: תכנון, תשלום, מעורבות של גורמים נוספים, זיוף מסמכים
- **תיק 2**: החזקה בסיסית ללא נסיבות מחמירות מיוחדות
- **הבדל איכותי** בחומרת הנסיבות

## 5. ישימות כתקדים
- שניהם עוסקים באותה עבירה (החזקת MDMA)
- אך הנסיבות שונות מהותית: תיק 1 = הברחה מאורגנת בהיקף גדול; תיק 2 = החזקה פרטנית
- בית משפט יתקשה להשתמש באחד כתקדים ישיר לשני בשל הפער בחומרה ובנסיבות

**SIMILARITY_SCORE: 42**"
